train_month,val_month,best_gamma,median_n,oos_r2_raw,oos_r2_univ,oos_r2_reg
1,3,3205.684914979542,2851.5,0.22912139516135455,0.21455266405557982,0.2282124581475733
2,4,2.676,2676.0,0.24081072288270622,0.2307471735831339,0.24081647313430754
3,5,1643.6354494274972,2951.5,0.21885556949327678,0.20658360615626747,0.21916182480229407
4,6,316.9481371781076,2931.5,0.22430292537360264,0.21168314064219185,0.22442422577273113
5,7,860.9377178620683,3121.0,0.20833239635827983,0.2035617657840164,0.21082991585024846
6,8,784.1126123110956,2842.5,0.19489649780853002,0.1802465434677908,0.19436621945087718
7,9,63.76027549829734,3037.5,0.1974291594794425,0.18839158095094932,0.19751717746956465
8,10,1078.6814014436004,3094.0,0.19590540790641586,0.18722457974696982,0.1981220292359518
9,11,379.73599626917104,2779.0,0.2351459685695385,0.2199723486909968,0.23531465589823652
10,12,349.32950067285196,3231.0,0.2250623473485196,0.20472025376770153,0.22503322356441724
