train_month,val_month,best_gamma,median_n,oos_r2_raw,oos_r2_univ,oos_r2_reg
1,3,1271.1992094126758,2885.0,0.24871277886792864,0.23353894761261618,0.2477070342028499
2,4,2.7055000000000002,2705.5,0.25318391201033363,0.24579304307333727,0.253191022634651
3,5,1031.2668343471782,2958.0,0.2322942222263089,0.22218750624080474,0.2333625929911054
4,6,315.59666123926183,2919.0,0.24142038880526007,0.22817163291018105,0.24142596435934138
5,7,680.7668907871763,3119.0,0.23145393230320188,0.22338689188639582,0.23231727099310318
6,8,384.723532744099,2815.5,0.209215204242156,0.1968164402996806,0.20927738375528393
7,9,101.47624937703787,3026.5,0.20984251660521802,0.2010819325195109,0.20995692392425558
8,10,1067.6993509764143,3062.5,0.20929164642669973,0.19972780897522957,0.2097513100878855
9,11,375.7732960562146,2750.0,0.24886015477461365,0.23641925009543374,0.24919160735538148
10,12,176.201441592557,3290.0,0.23922987382129657,0.22229597014547342,0.239214414689494
