train_month,val_month,stock,lambda,alpha,is_r2,oos_r2,c,H
1,3,AAL,6.644493477093391,0.0,0.09984569217185157,0.1192733829209236,0.3,5.0
1,3,AAPL,9.332421346375217,0.0,0.15209207104765565,0.1349532908552208,0.3,5.0
1,3,ABBV,5.702532677198548,0.0,0.06610484111553117,0.08373748150792681,0.3,5.0
1,3,ABT,6.080941447742642,0.0,0.08872561436663162,0.06937380293651207,0.3,5.0
1,3,ADBE,6.2653603192204494,0.0,0.09940010798813592,0.08577410447390887,0.3,5.0
1,3,ADI,5.130972768824354,0.0,0.07933601158560877,0.0710200353486874,0.3,5.0
1,3,ADM,5.86113153205202,0.0,0.10471224310283522,0.13814416963804377,0.3,5.0
1,3,ADP,6.23357934364743,0.0,0.11267007856789601,0.08684557720160335,0.3,5.0
1,3,ADSK,5.761747356302019,0.0,0.11780770652081052,0.07496801142106757,0.3,5.0
1,3,AEP,4.471619141696698,0.0,0.08810487498567787,0.06809591676295523,0.3,5.0
1,3,AES,5.517518954266272,0.0,0.1228331269879136,0.13480826906728582,0.3,5.0
1,3,AFL,5.646814364487922,0.0,0.10248195740523292,0.10039488512286332,0.3,5.0
1,3,AIG,5.33092214676739,0.0,0.08350733991852366,0.09018957169389519,0.3,5.0
1,3,AMAT,5.764415044407803,0.0,0.10157924531911577,0.12278553548240456,0.3,5.0
1,3,AMD,8.162960718735754,0.0,0.16403253767370196,0.1500843456321853,0.3,5.0
1,3,AMGN,7.635752875826742,0.0,0.07324678764938097,0.0787357003178113,0.3,5.0
1,3,AMZN,8.474439567935757,0.0,0.1654427201175036,0.15475085054027238,0.3,5.0
1,3,AOS,5.478104657931427,0.0,0.089354044727747,0.12175720743667495,0.3,5.0
1,3,APA,4.6986432436711985,0.0,0.08941105708283392,0.08216589665746243,0.3,5.0
1,3,APC,5.1794374444509055,0.0,0.06610384546198222,0.07383839253597613,0.3,5.0
2,4,AAL,8.047243188566421,0.0,0.12640339618724084,0.13175983486435294,0.3,5.0
2,4,AAPL,9.269932596218853,0.0,0.14872357508787704,0.1291935875173048,0.3,5.0
2,4,ABBV,5.891145429547833,0.0,0.0893649754724185,0.08449645588746635,0.3,5.0
2,4,ABT,5.854443840960405,0.0,0.087290006232427,0.07285513819356171,0.3,5.0
2,4,ADBE,6.8191634329418696,0.0,0.09060470432706746,0.13077473015808305,0.3,5.0
2,4,ADI,6.3005778247779975,0.0,0.08818109001608743,0.08939020291539401,0.3,5.0
2,4,ADM,7.006280094744662,0.0,0.14094491035913914,0.12899227018299642,0.3,5.0
2,4,ADP,6.057288170234008,0.0,0.10464006922654867,0.11838764696917581,0.3,5.0
2,4,ADSK,7.102783370219175,0.0,0.11037340859982969,0.1060654474958479,0.3,5.0
2,4,AEP,4.71121650645758,0.0,0.07650959882719521,0.06752594609775231,0.3,5.0
2,4,AES,6.6492751117072615,0.0,0.146402939460902,0.17465746811346217,0.3,5.0
2,4,AFL,6.47316628850731,0.0,0.12175066807187707,0.13103256162724564,0.3,5.0
2,4,AIG,6.335047714419065,0.0,0.0988344674183953,0.11748358679993254,0.3,5.0
2,4,AMAT,6.54454761460825,0.0,0.1242305466354594,0.10789352509945649,0.3,5.0
2,4,AMD,7.270744924588166,0.0,0.14650664738236197,0.15553439804428426,0.3,5.0
2,4,AMGN,8.212165037149077,0.0,0.10399512951334655,0.10124227410804443,0.3,5.0
2,4,AMZN,9.114709132852886,0.0,0.17316003592878626,0.1492741489314724,0.3,5.0
2,4,AOS,4.877593114011537,0.0,0.11162616965295646,0.11827973890141996,0.3,5.0
2,4,APA,5.726682154784412,0.0,0.0884915156244156,0.08942069799602625,0.3,5.0
2,4,APC,7.613408637236384,0.0,0.10654033836397814,0.07413433538768766,0.3,5.0
3,5,AAL,9.071367289323037,0.0,0.128482994818524,0.12033149248926855,0.3,5.0
3,5,AAPL,13.125055865815341,0.0,0.1472483901686381,0.12946085152006515,0.3,5.0
3,5,ABBV,7.805133342607856,0.0,0.09029139121463192,0.07754623071431177,0.3,5.0
3,5,ABT,6.759497625245379,0.0,0.07008047161956987,0.0830236331600076,0.3,5.0
3,5,ADBE,7.82988703284028,0.0,0.08934414938256152,0.06778635596494786,0.3,5.0
3,5,ADI,7.728850570739524,0.0,0.08006640568458068,0.08042599525121363,0.3,5.0
3,5,ADM,7.377357790191313,0.0,0.1442380910727774,0.1090555040068919,0.3,5.0
3,5,ADP,8.549698426916494,0.0,0.09373003446267458,0.08726148546779644,0.3,5.0
3,5,ADSK,8.690498934541312,0.0,0.0845873403962728,0.08357378211785815,0.3,5.0
3,5,AEP,6.406905461844854,0.0,0.07493746065443996,0.07663912125491057,0.3,5.0
3,5,AES,6.4946210708757866,0.0,0.1379313258920477,0.15485754136244367,0.3,5.0
3,5,AFL,6.8571383970125455,0.0,0.10362360892179456,0.10599962594666901,0.3,5.0
3,5,AIG,6.711759647448414,0.0,0.09417788475423461,0.09068800457331727,0.3,5.0
3,5,AMAT,8.333489395823237,0.0,0.1357108354508082,0.10924937005514401,0.3,5.0
