median_n,r2_raw,r2_reg,gain,gamma_n,model,window
2930.25,0.23623469226394095,0.23673472849090987,9.451880007493862e-05,0.13664483492953258,OW,1 month
707.5,0.22502138738246313,0.2293798356503956,0.0010907677498228074,0.7038135554931562,OW,5 days
278.75,0.21911486888755494,0.23255551321913281,0.006556420009255826,1.0068617661864554,OW,2 days
2931.5,0.22129252552117623,0.22149276166097875,0.00012007817571962898,0.22427574541443102,AFS,1 month
701.5,0.20544689748553502,0.2089638532070624,0.0033354709067896504,0.7824168389197224,AFS,5 days
275.5,0.2029176692771717,0.20941721199270646,0.009384509271761154,1.2725204337980047,AFS,2 days
