,total
net_pnl,23422.061115850385
gross_pnl,24886.40327087314
mid_raw_pnl,33179.999984732494
impact_cost,1464.3421550227552
predicted_alpha,40778.8379354107
realised_alpha,34898.648869251614
turnover,20587408.76097795
gross_notional,2467629247.2432737
flow_flag_count,442173.0
