stock,date,net_pnl,gross_pnl,mid_raw_pnl,impact_cost,turnover,gross_notional,day_participation,flow_flag_count,max_delta_g,predicted_alpha,realised_alpha
AAL,2019-01-02,55.96518681500427,56.05458717183344,11.729466759534766,0.08940035682916658,2790.5411887021028,91698.30064773472,0.004035945036030243,46.0,5.6823637622615414e-05,2.1762962725502915,11.530045245406438
AAL,2019-01-03,55.170774909236954,55.23796271198826,59.97528421347218,0.06718780275130598,4778.271052848053,141757.40013310307,0.002194265042283841,74.0,9.651273971827794e-05,3.6011766274507617,55.33880439639464
AAL,2019-01-04,-87.8312568188679,-87.76151668016921,-46.32077166604055,0.06974013869869111,4706.416990503125,150220.38978476406,0.0034317688234750724,51.0,5.1172149717407245e-05,3.6931057610347655,-46.759326409494115
AAL,2019-01-07,39.29178311076694,39.41933945377349,40.63058026782366,0.12755634300654606,4243.94040979336,140371.64016964933,0.0038392316451513735,32.0,6.63910249368814e-05,3.2469984234602025,41.42580593778938
AAL,2019-01-08,-5.723657158091537,-5.412469813482712,4.284816445722729,0.31118734460882536,4167.496422100372,135799.50081246026,0.004340382539410157,51.0,0.0001614409563751272,3.202608348614685,5.300803196855398
AAL,2019-01-09,3.162303084490972,3.1624577689852966,3.3127478781756237,0.0001546844943245418,34.11976287209196,1117.130522050285,0.0005143088417734427,0.0,9.979598390380887e-07,0.027966475802733058,3.4959743794130063
AAL,2019-01-10,-28.243766528340196,-28.187565994891248,-18.014576325721855,0.05620053344894771,3135.1456723766837,97239.11644450408,0.001278148817869885,53.0,9.533471153786084e-05,2.3864950261661715,-19.17870126319592
AAL,2019-01-11,17.292557614420637,17.604037391203736,12.084843754487903,0.31147977678309857,3180.100120171546,99927.9043464127,0.003318276470687442,102.0,0.00015189723751447403,2.396400541838067,11.205297854775905
AAL,2019-01-14,-22.110203446743743,-22.078974870654626,22.99233042785439,0.031228576089116444,3117.3785042816507,98236.02309529277,0.003842647473777332,48.0,0.00014118528348987074,2.3366029309393452,23.14070737177147
AAL,2019-01-15,-3.1839086449482403,-3.0853821288108407,-5.053069745184397,0.0985265161373996,3202.5226492338516,103929.31390566274,0.0032458909988697503,30.0,5.64991747810991e-05,2.5311154475516937,-4.519799187948858
AAL,2019-01-16,-48.78798680442685,-48.715249519873254,-1.1563013173282775,0.07273728455359674,3020.74112338984,102212.02428343617,0.0023669049367555503,55.0,7.597056259550303e-05,2.28845644243506,-0.36121741718021116
AAL,2019-01-17,-5.832080086402282,-5.811990304397414,10.203818245302665,0.02008978200486844,3054.2909693924307,102658.47229722935,0.003912552369779668,49.0,5.6499326807853134e-05,2.3863242412323507,11.001620214756008
AAL,2019-01-18,1.1456352750745786,1.1760951278499885,2.897828665489154,0.030459852775409857,3119.1082597501704,104908.32331292189,0.003526468238297055,39.0,6.038349692248299e-05,2.424200126453208,3.815433301476869
