,total
net_pnl,18355.083230966266
gross_pnl,601361.1346915845
mid_raw_pnl,18355.083230966266
impact_cost,583006.0514606182
predicted_alpha,2320567.17728363
realised_alpha,1338329.0049154917
turnover,395677281.3423366
gross_notional,49608146305.48771
flow_flag_count,778369.0
