,total
net_pnl,495598.1383747502
gross_pnl,503762.7047850117
mid_raw_pnl,508584.43409434205
impact_cost,8164.566410261454
predicted_alpha,51028597.77364504
realised_alpha,479543.36909858556
turnover,98953773.90862751
gross_notional,12080050483.98256
flow_flag_count,563579.0
