,total
net_pnl,53280.751673526625
gross_pnl,60935.94518708343
impact_cost,7655.193513556801
predicted_alpha,22297118.779890575
realised_alpha,60935.94518707857
turnover,41984781.26359814
gross_notional,5130655761.481225
