stock,date,pnl_unpert,pnl_pert,pnl_mid_raw,pnl_mid,pnl_sim,impact_cost,turnover,day_volume,day_participation,mean_bin_participation,max_bin_participation,abs_position_mean,abs_position_max,max_impact_dislocation,flow_flag_count,n_bins
AAL,2019-01-02,149.28449858689987,466.68946726852124,149.28449858689987,149.28449858689987,149.28449858689987,317.40496868162137,401255.62327954086,691422.0,0.5803338963462847,6.479787194146234,537.2491055322512,124.65105647149925,601.6856192167209,0.00010721515754291353,243,2339
AAL,2019-01-03,766.3095073151366,1366.767814451325,766.3095073151366,766.3095073151366,766.3095073151366,600.4583071361884,695219.683394669,2177618.0,0.3192569511248846,4.272650177419358,571.7952151549392,211.83114409863379,952.961350160815,0.00010798130017974569,476,2338
AAL,2019-01-04,-384.98049563798907,174.07346873093132,-384.98049563798907,-384.98049563798907,-384.98049563798907,559.0539643689203,688982.87109865,1371426.0,0.5023842854799676,8.717143002259878,1398.7944919621752,210.46334517465905,1179.0451359231772,0.00012995929345432618,388,2324
AAL,2019-01-07,101.02171137466262,606.861029378424,101.02171137466262,101.02171137466262,101.02171137466262,505.8393180037613,632185.9754848715,1105414.0,0.5718997366460634,6.7282774861592,895.0310783257396,188.4341781898066,992.4982845685292,0.00011624611593399198,358,2335
AAL,2019-01-08,-173.01584306609394,337.7201739685114,-173.01584306609394,-173.01584306609394,-173.01584306609394,510.7360170346053,602635.7782714269,960168.0,0.627635766107001,13.959760507426246,1005.3768452338669,186.9809049456772,770.6429743957208,9.254021416761366e-05,396,2333
AAL,2019-01-09,72.80228690758653,74.07912117228702,72.80228690758653,72.80228690758653,72.80228690758653,1.276834264700483,2756.3354383259784,66341.0,0.041547993523250754,0.2288012813750565,2.6252329682551,42.11608122971805,272.6733714428042,5.427894963498702e-05,1,58
AAL,2019-01-10,59.51460722782727,432.6166598386019,59.51460722782727,59.51460722782727,59.51460722782727,373.10205261077465,462243.4829226718,2452880.0,0.18844928529837246,1.8048472807822746,348.4083854909284,138.75563234283524,704.7935034980952,0.00011566189830645307,300,2339
AAL,2019-01-11,152.83139834511215,535.730516580273,152.83139834511215,152.83139834511215,152.83139834511215,382.8991182351609,454972.763471484,958359.0,0.4747414731551371,3.463917992508765,514.8714109624646,141.22341766937052,589.4071328175653,9.496786822891373e-05,523,2330
AAL,2019-01-14,-16.27934520877548,344.7687580137117,-16.27934520877548,-16.27934520877548,-16.27934520877548,361.04810322248716,448289.8968368934,811258.0,0.5525861031100999,6.2067733013379724,576.6716856974765,143.66448805290548,608.0814732697424,9.706445832140123e-05,303,2338
AAL,2019-01-15,172.26946585573018,558.2037338479656,172.26946585573018,172.26946585573018,172.26946585573018,385.93426799223545,460962.53222536715,986639.0,0.46720485631053216,4.957260096442795,495.0123685660833,146.94028418191706,691.0723407439373,0.00011038704025630522,230,2339
