,total
net_pnl,291810.9361611849
gross_pnl,5151401.913503796
mid_raw_pnl,291810.9361611849
impact_cost,4859590.977342611
predicted_alpha,9847451.58678883
realised_alpha,10133613.412174966
turnover,2315500698.8206143
gross_notional,261731662523.7138
flow_flag_count,2045656.0
