date,pnl_unpert,pnl_pert,pnl_mid_raw,pnl_mid,pnl_sim,impact_cost,turnover,day_volume,flow_flag_count,max_impact
2019-01-02,-332.5237737410211,18381.992976503258,-332.5237737410211,-332.5237737410211,-332.5237737410211,18714.51675024428,9872679.311073108,19817464.0,4972,0.0002043513270280628
2019-01-03,3824.740844746145,27887.82370105971,3824.740844746145,3824.740844746145,3824.740844746145,24063.08285631357,12156630.607253002,30908381.0,4938,0.00021104564198451414
2019-01-04,2676.217352908497,26365.94447499388,2676.217352908497,2676.217352908497,2676.217352908497,23689.727122085384,12477169.180667752,29947016.0,5055,0.00019797012536826916
2019-01-07,-340.81362750625857,23404.323405288258,-340.81362750625857,-340.81362750625857,-340.81362750625857,23745.137032794515,12010535.280364214,23960457.0,6160,0.00019011856954937942
2019-01-08,2449.811140050997,26207.201971959,2449.811140050997,2449.811140050997,2449.811140050997,23757.390831908,11722459.117337061,22259708.0,6163,0.00018441512000579897
2019-01-09,486.0728979439822,602.1366522994091,486.0728979439822,486.0728979439822,486.0728979439822,116.06375435542691,64008.737789354185,1553229.0,52,8.772177673955052e-05
2019-01-10,-837.1950574570433,14855.535020403266,-837.1950574570433,-837.1950574570433,-837.1950574570433,15692.730077860308,7553000.619954061,21774504.0,5293,0.00018173404875530819
2019-01-11,2816.6065626706363,18304.516871712764,2816.6065626706363,2816.6065626706363,2816.6065626706363,15487.910309042129,7518978.819774587,16852388.0,5970,0.00021281140401064984
2019-01-14,4083.659791774434,19830.80336464557,4083.659791774434,4083.659791774434,4083.659791774434,15747.143572871137,7530962.985730285,16179434.0,6463,0.00017752852920635553
2019-01-15,1898.5032764095213,17731.96336269222,1898.5032764095213,1898.5032764095213,1898.5032764095213,15833.460086282697,7512228.699654948,16690357.0,5838,0.0001736500607593017
2019-01-16,4322.16157949448,20894.127524379663,4322.16157949448,4322.16157949448,4322.16157949448,16571.96594488518,7789028.392571437,17444476.0,6311,0.00018528446044778143
2019-01-17,1708.5214295354701,17856.120251178745,1708.5214295354701,1708.5214295354701,1708.5214295354701,16147.598821643274,7855249.995031815,17282083.0,6670,0.00018459113506494426
2019-01-18,1442.2018259572876,17867.45328623408,1442.2018259572876,1442.2018259572876,1442.2018259572876,16425.251460276788,7846100.476000064,19998019.0,5995,0.0001983857705697839
2019-01-22,179.83872350179223,17792.826023053272,179.83872350179223,179.83872350179223,179.83872350179223,17612.987299551478,8255360.727381528,18617061.0,5360,0.00016276189584197784
2019-01-23,-220.60678595561166,17305.09288703032,-220.60678595561166,-220.60678595561166,-220.60678595561166,17525.699672985935,8424120.854139443,17997976.0,5352,0.0002120599166872128
2019-01-24,3938.486421382476,21438.004726175113,3938.486421382476,3938.486421382476,3938.486421382476,17499.51830479264,8424393.76175703,23250604.0,6203,0.00018317927179706261
2019-01-25,-43.65674439915314,17359.536194637854,-43.65674439915314,-43.65674439915314,-43.65674439915314,17403.192939037006,8343887.076951141,23567482.0,6150,0.00018603417973501318
2019-01-28,-790.3503916234586,17500.086393465288,-790.3503916234586,-790.3503916234586,-790.3503916234586,18290.436785088747,8775585.470415832,22469419.0,5435,0.00017634720466839712
2019-01-29,3126.3485593067394,21840.203710877955,3126.3485593067394,3126.3485593067394,3126.3485593067394,18713.855151571217,8949065.799543725,21634369.0,6584,0.00018329824110416976
2019-01-30,1921.2696789030467,19678.594042530407,1921.2696789030467,1921.2696789030467,1921.2696789030467,17757.32436362736,8652223.72915791,33410824.0,5699,0.00017656759508738115
2019-01-31,1795.030725415897,19679.02380679127,1795.030725415897,1795.030725415897,1795.030725415897,17883.993081375374,8454245.481981339,25635771.0,5905,0.00016563240853684907
2019-02-01,3088.5762293746548,21910.682403959476,3088.5762293746548,3088.5762293746548,3088.5762293746548,18822.10617458482,8472238.027268795,20674084.0,5750,0.00017100927203861067
2019-02-04,1186.312736116072,18939.210323198324,1186.312736116072,1186.312736116072,1186.312736116072,17752.89758708225,8367909.8621698525,18875742.0,7579,0.00015473811425264355
2019-02-05,-580.268852609897,17732.633331030425,-580.268852609897,-580.268852609897,-580.268852609897,18312.902183640323,8602697.97490078,22230549.0,6835,0.00019426303783035004
2019-02-06,-768.2142681656139,17141.37863115271,-768.2142681656139,-768.2142681656139,-768.2142681656139,17909.592899318322,8552950.724236485,18483188.0,6254,0.0001677184364782991
2019-02-07,-526.9915047504376,23454.465749986903,-526.9915047504376,-526.9915047504376,-526.9915047504376,23981.45725473734,11369662.654644225,21014474.0,5990,0.00017380039831941738
2019-02-08,-16.845588989723666,23770.387614288426,-16.845588989723666,-16.845588989723666,-16.845588989723666,23787.23320327815,11320457.075263765,17075949.0,6929,0.00016878071008880752
2019-02-11,5991.285979980364,30145.39328642566,5991.285979980364,5991.285979980364,5991.285979980364,24154.107306445298,11317527.361629387,15571637.0,8145,0.0001666618955975807
2019-02-12,2260.9428954615173,25806.20410526179,2260.9428954615173,2260.9428954615173,2260.9428954615173,23545.261209800272,11349987.248580264,17451884.0,8232,0.00015386560664501676
2019-02-13,-965.3543054479268,23753.129414442064,-965.3543054479268,-965.3543054479268,-965.3543054479268,24718.48371988999,11693156.703255547,15909830.0,8555,0.0001666570493626951
2019-02-14,-1055.4112137216516,22519.859177458133,-1055.4112137216516,-1055.4112137216516,-1055.4112137216516,23575.270391179783,11460050.49518062,17194742.0,8240,0.00015412744686415202
2019-02-15,734.7451170229671,25006.93522224794,734.7451170229671,734.7451170229671,734.7451170229671,24272.190105224974,11663863.93196157,19455522.0,8644,0.00018747338733945246
2019-02-19,2613.9795059393036,26355.505125769498,2613.9795059393036,2613.9795059393036,2613.9795059393036,23741.525619830194,11544434.499114558,15762037.0,9185,0.0001904241305016978
2019-02-20,1262.0788696335449,24768.54734339493,1262.0788696335449,1262.0788696335449,1262.0788696335449,23506.468473761386,11585116.900348237,16806413.0,8814,0.00015424774551817816
2019-02-21,835.7107956982461,25768.79249635176,835.7107956982461,835.7107956982461,835.7107956982461,24933.081700653518,11846459.650473742,15594069.0,8841,0.00014054968715467367
2019-02-22,-657.099139891744,23614.838249820466,-657.099139891744,-657.099139891744,-657.099139891744,24271.937389712213,11699966.100809706,15688581.0,9694,0.00015046184690563694
2019-02-25,232.62867376042345,24558.3895126405,232.62867376042345,232.62867376042345,232.62867376042345,24325.76083888008,11726282.215925738,16403815.0,9449,0.00016009226161282225
2019-02-26,-2484.4769672081156,21282.587652844944,-2484.4769672081156,-2484.4769672081156,-2484.4769672081156,23767.06462005306,11758569.393796513,13342599.0,9698,0.00014528238277333782
2019-02-27,4529.152406059622,28788.184412337934,4529.152406059622,4529.152406059622,4529.152406059622,24259.032006278314,11950784.423681822,15750942.0,9982,0.00016400404835491787
2019-02-28,2728.2410845142836,26954.35661091016,2728.2410845142836,2728.2410845142836,2728.2410845142836,24226.115526395875,11877479.880506758,12584384.0,10642,0.00016543120798032123
2019-03-01,-1978.1173937236774,21995.424018620117,-1978.1173937236774,-1978.1173937236774,-1978.1173937236774,23973.5414123438,11671165.691015644,16037716.0,9239,0.00015870894238325522
2019-03-04,1004.4845017708012,25759.841379853748,1004.4845017708012,1004.4845017708012,1004.4845017708012,24755.356878082945,12083747.403276356,18365453.0,7423,0.00014136259532175968
2019-03-05,3090.2277405102623,26941.8894248763,3090.2277405102623,3090.2277405102623,3090.2277405102623,23851.661684366034,11863228.886660442,13173505.0,9723,0.0001747129365614955
2019-03-06,1029.7203681123112,25812.722252358057,1029.7203681123112,1029.7203681123112,1029.7203681123112,24783.001884245747,11924258.323666073,16760965.0,8627,0.00016559499426024252
2019-03-07,3803.4735787779346,27889.75707693595,3803.4735787779346,3803.4735787779346,3803.4735787779346,24086.283498158016,11886157.971374318,16204670.0,7930,0.00015349630526622499
2019-03-08,-1489.2535565863654,21973.342913605466,-1489.2535565863654,-1489.2535565863654,-1489.2535565863654,23462.59647019183,11530268.698102873,12592013.0,8431,0.00017326358834773153
2019-03-11,3080.0525738876995,26491.777944483394,3080.0525738876995,3080.0525738876995,3080.0525738876995,23411.725370595697,11689746.021406377,16042601.0,8768,0.00016990634660516563
2019-03-12,2433.1427871090377,26036.767816196832,2433.1427871090377,2433.1427871090377,2433.1427871090377,23603.625029087798,11535886.76443958,16360609.0,8635,0.00017137459591623147
2019-03-13,2293.838060783496,25993.60321229191,2293.838060783496,2293.838060783496,2293.838060783496,23699.765151508414,11480722.683633426,15924210.0,9062,0.0001613241656729901
2019-03-14,61.90328842518015,23730.496646374642,61.90328842518015,61.90328842518015,61.90328842518015,23668.593357949463,11523678.444607195,14969597.0,9680,0.00017145683349653953
2019-03-15,5113.977149723657,29490.582622118858,5113.977149723657,5113.977149723657,5113.977149723657,24376.6054723952,11545388.515609132,17928237.0,8914,0.00016047257222022958
2019-03-18,543.0070933863193,24138.264595531644,543.0070933863193,543.0070933863193,543.0070933863193,23595.257502145323,11470574.945651706,13630861.0,9310,0.00020620560946048826
2019-03-19,-3410.0544194486383,20364.074911109146,-3410.0544194486383,-3410.0544194486383,-3410.0544194486383,23774.129330557786,11544991.688967146,27710802.0,8499,0.000157123009310825
2019-03-20,6069.3359248851075,30774.964426222894,6069.3359248851075,6069.3359248851075,6069.3359248851075,24705.628501337786,11463987.361449419,21974540.0,8374,0.0001623533455386364
2019-03-21,680.9572850477141,24244.907985017064,680.9572850477141,680.9572850477141,680.9572850477141,23563.950699969348,11243675.419133948,23383128.0,8147,0.00012402396762251772
2019-03-22,632.3784447858619,25289.114905287162,632.3784447858619,632.3784447858619,632.3784447858619,24656.736460501303,11311920.533448724,21987952.0,6500,0.00013155309893723207
2019-03-25,-3073.93034017115,20679.972988435424,-3073.93034017115,-3073.93034017115,-3073.93034017115,23753.90332860657,11184403.314311821,16716740.0,6984,0.0001340436619125772
2019-03-26,-1258.5142203570429,22485.812757811014,-1258.5142203570429,-1258.5142203570429,-1258.5142203570429,23744.326978168057,11079748.531757636,17508662.0,7365,0.00017739564640602973
2019-03-27,-443.0416851377742,24240.06361094823,-443.0416851377742,-443.0416851377742,-443.0416851377742,24683.105296086003,11362089.383019447,18296838.0,7143,0.00014294169362918246
2019-03-28,918.6691306208266,24173.6090684938,918.6691306208266,918.6691306208266,918.6691306208266,23254.939937872972,11157885.662488006,14773395.0,8510,0.00018215920833226235
2019-03-29,-3357.618351855567,19631.237687548986,-3357.618351855567,-3357.618351855567,-3357.618351855567,22988.856039404556,10920377.222682703,15622894.0,8379,0.0001477345394743923
2019-04-01,3862.9045019617292,25721.819468269863,3862.9045019617292,3862.9045019617292,3862.9045019617292,21858.914966308133,10845577.981174503,15777676.0,8292,0.00013135687966799037
2019-04-02,459.12964548734794,23435.93723561477,459.12964548734794,459.12964548734794,459.12964548734794,22976.80759012742,10762975.983180728,14668604.0,8700,0.00014823828891949355
2019-04-03,6077.18347886517,28052.014958188407,6077.18347886517,6077.18347886517,6077.18347886517,21974.83147932324,10394039.472531853,26063645.0,8216,0.00012330728023116078
2019-04-04,-5.014016747240319,22809.38981044247,-5.014016747240319,-5.014016747240319,-5.014016747240319,22814.403827189708,10502927.338445693,16784843.0,8811,0.00016394713925187848
