stock,date,net_pnl,gross_pnl,mid_raw_pnl,impact_cost,turnover,gross_notional,day_participation,flow_flag_count,max_delta_g,predicted_alpha,realised_alpha
AAL,2019-01-02,149.28449858689987,466.68946726852124,149.28449858689987,317.40496868162137,401255.62327954086,12955752.1542078,0.5803338963462847,243.0,0.00010721515754291353,659.1168256690387,1336.1310400718967
AAL,2019-01-03,766.3095073151366,1366.767814451325,766.3095073151366,600.4583071361884,695219.683394669,20820641.104693603,0.3192569511248846,476.0,0.00010798130017974569,1147.0218868652587,10792.528277299894
AAL,2019-01-04,-384.98049563798907,174.07346873093132,-384.98049563798907,559.0539643689203,688982.87109865,21825927.091902364,0.5023842854799676,388.0,0.00012995929345432618,1178.0079909163019,-444.81557622652844
AAL,2019-01-07,101.02171137466262,606.861029378424,101.02171137466262,505.8393180037613,632185.9754848715,20807763.607575193,0.5718997366460634,358.0,0.00011624611593399198,1056.7297744510388,6852.672402278009
AAL,2019-01-08,-173.01584306609394,337.7201739685114,-173.01584306609394,510.7360170346053,602635.7782714269,19680351.65934804,0.627635766107001,396.0,9.254021416761366e-05,1011.4628169497169,1950.4340751118932
AAL,2019-01-09,72.80228690758653,74.07912117228702,72.80228690758653,1.276834264700483,2756.3354383259784,89663.37738133546,0.041547993523250754,1.0,5.427894963498702e-05,3.443988167076184,332.2691211927548
AAL,2019-01-10,59.51460722782727,432.6166598386019,59.51460722782727,373.10205261077465,462243.4829226718,14433549.526487574,0.18844928529837246,300.0,0.00011566189830645307,768.8535422039868,2410.0779686697697
AAL,2019-01-11,152.83139834511215,535.730516580273,152.83139834511215,382.8991182351609,454972.763471484,14391318.011184853,0.4747414731551371,523.0,9.496786822891373e-05,770.3381416393374,1576.148228456201
AAL,2019-01-14,-16.27934520877548,344.7687580137117,-16.27934520877548,361.04810322248716,448289.8968368934,14175452.23981259,0.5525861031100999,303.0,9.706445832140123e-05,735.9595507324589,1451.2355900325201
AAL,2019-01-15,172.26946585573018,558.2037338479656,172.26946585573018,385.93426799223545,460962.53222536715,14798454.621477768,0.46720485631053216,230.0,0.00011038704025630522,788.1788515385872,2605.2122763723323
AAL,2019-01-16,21.184461122235774,380.23672972417125,21.184461122235774,359.05226860193545,449077.272461544,14915731.305176971,0.35187497695305514,256.0,8.983612470112208e-05,734.7854396286388,1359.2770556376956
AAL,2019-01-17,-53.61416503906257,316.56746433158946,-53.61416503906257,370.18162937065205,451634.7171710599,15032750.393339882,0.5785449063793379,285.0,9.995918087378486e-05,759.1070809764401,1763.1871542192048
AAL,2019-01-18,-168.72174542624379,222.9002499187642,-168.72174542624379,391.621995345008,461239.5523159855,15599525.054269744,0.521478094389374,289.0,0.0001026047145469694,791.6353452779802,994.2010314225782
AAL,2019-01-22,297.34919450364407,703.1362139257548,297.34919450364407,405.7870194221107,476290.4593812132,15778287.753753737,0.3846965249659664,243.0,9.589568008394091e-05,804.8739210960014,1268.2915041822148
AAL,2019-01-23,6.938405293266655,454.77590605894983,6.938405293266655,447.83750076568316,514225.79939612764,16576507.318756994,0.3083748163583539,271.0,0.00012491372584691723,883.7276375152037,2661.608001435563
AAL,2019-01-24,30.0774150554073,431.1376622300743,30.0774150554073,401.060247174667,486282.02755780314,16189737.839064455,0.3098091558314209,327.0,0.0001149637128769615,787.915018222221,1810.1785049114262
AAL,2019-01-25,92.60530006352136,506.6418650562742,92.60530006352136,414.0365649927528,499980.4903683674,17530937.75637883,0.3001249110805443,317.0,9.060762959868171e-05,865.4357150797593,3011.89509342584
AAL,2019-01-28,-136.15699558899755,275.51832287737324,-136.15699558899755,411.67531846637075,504972.4918922719,18260491.335611306,0.27561774042941506,256.0,0.00011331561435112825,872.9356649643478,2417.9440451648725
AAL,2019-01-29,156.38172365842425,569.1075749122245,156.38172365842425,412.72585125380033,489253.67346645903,17866696.309906814,0.44828861182892044,374.0,9.803847653024056e-05,829.6528778918534,-120.30180785274388
AAL,2019-01-30,175.1600408202711,582.8158851028177,175.1600408202711,407.6558442825466,491433.3746691429,17898869.151037082,0.4172309384249565,263.0,0.00012916187186919406,827.1552496323956,467.96980405573464
AAL,2019-01-31,-16.725945011775785,398.65075120248787,-16.725945011775785,415.37669621426363,504625.09407099313,18202870.34527127,0.4185155248359885,405.0,0.00010695096231786144,836.9390074342132,700.9704537192151
AAL,2019-02-01,-110.85959255046058,310.2543414700833,-110.85959255046058,421.11393402054387,510455.0318500718,18525571.264168203,0.4930551167789429,338.0,9.344541938000744e-05,860.4729709131378,615.0287292616533
AAL,2019-02-04,-73.9305571105176,320.55132510612066,-73.9305571105176,394.48188221663827,488130.24329199805,17885771.5868944,0.5626122253582791,493.0,8.85576081425853e-05,810.8500293979341,415.8812505604735
AAL,2019-02-05,-108.60662806698119,300.34554461804606,-108.60662806698119,408.9521726850272,494538.1448567724,18270000.250558216,0.4786266795227191,353.0,9.978754172981427e-05,828.9789805169651,898.5138635021051
AAL,2019-02-06,-5.125380994612232,379.6455166427835,-5.125380994612232,384.7708976373957,486382.1359780837,17906562.46724893,0.6745348686287935,367.0,8.593292318076658e-05,780.2309820927976,997.4698159532411
AAL,2019-02-07,-19.02435306050603,563.6815465597649,-19.02435306050603,582.7058996202709,670500.5617976948,24351742.12590777,0.6434301677789008,351.0,0.00011131632558132511,1176.239906908755,1462.220956655934
AAL,2019-02-08,-32.79784084382525,529.6681164770689,-32.79784084382525,562.4659573208942,665686.3097282242,23840837.273385674,0.729810367892753,400.0,9.091796550760815e-05,1134.9793097429474,1922.1272911206202
AAL,2019-02-11,-33.95677093749935,511.43410431648726,-33.95677093749935,545.3908752539866,662762.2233348732,24151596.304575704,0.7911018922054752,536.0,8.766144871988867e-05,1118.3457734510162,1151.8996586828366
AAL,2019-02-12,102.57452318670147,675.4028358235776,102.57452318670147,572.828312636876,679662.8782211246,24919621.17366707,0.49495613694737656,569.0,9.132310054646301e-05,1154.7554614639216,860.2901407853446
AAL,2019-02-13,-262.91293356927906,336.0969591024866,-262.91293356927906,599.0098926717657,715551.9122580381,25872406.72867828,0.7403966626706132,518.0,9.40454342747987e-05,1221.1000266736928,935.1165698566674
