,total
net_pnl,250937.15350579337
gross_pnl,263344.833992064
impact_cost,12407.680486270616
predicted_alpha,25390922.549253605
realised_alpha,263344.8339920603
turnover,92754482.40891878
gross_notional,11354537767.496506
