,total
net_pnl,1610626.4361356793
gross_pnl,4633003.353171482
mid_raw_pnl,851242.6848960968
impact_cost,3022376.9170358027
predicted_alpha,6046741.66406351
realised_alpha,6156970.748115799
turnover,1862599217.413684
gross_notional,209417178164.29596
flow_flag_count,1739667.0
