stock,date,pnl_unpert,pnl_pert,pnl_mid_raw,pnl_mid,pnl_sim,impact_cost,turnover,day_volume,day_participation,mean_bin_participation,max_bin_participation,abs_position_mean,abs_position_max,max_impact_dislocation,flow_flag_count,n_bins
AAL,2019-01-02,78.93203095797328,78.87109714930418,20.77503510188689,78.93203095797328,78.87109714930418,0.06093380866910536,8233.36777886803,691422.0,0.011907876490577434,0.12955382441193264,3.9386490694381853,35.506309834383046,147.62220359979497,1.2011831486972296e-05,55,2339
AAL,2019-01-03,163.2811419096161,163.11886955285576,149.9470013953192,163.2811419096161,163.11886955285576,0.16227235676035434,16900.735233573414,2177618.0,0.00776111110101653,0.1122844565943231,8.106369606074493,69.89943590964934,234.35030511122395,1.2395482115276635e-05,83,2338
AAL,2019-01-04,-231.62255580881654,-231.7999107429657,-191.3561837316871,-231.62255580881654,-231.7999107429657,0.17735493414915027,16415.769564451883,1371426.0,0.011969854417556531,0.16389620050300996,7.994696022780615,132.54818949728607,361.8484220226756,2.1190755576504716e-05,67,2324
AAL,2019-01-07,-147.47656693288747,-147.62101602917988,-134.26127885193046,-147.47656693288747,-147.62101602917988,0.1444490962924192,15776.243832227217,1105414.0,0.014271796659194851,0.15380782264222098,7.711727472133544,250.31026697999272,529.2467987300728,1.7731132184022405e-05,44,2335
AAL,2019-01-08,704.9816590858468,704.8112936508985,424.3914287089093,704.9816590858468,704.8112936508985,0.17036543494828038,14877.364712665323,960168.0,0.015494543363937689,0.31429286047347266,7.266809338637711,435.7175180338433,623.8006342154131,1.599651813344663e-05,62,2333
AAL,2019-01-09,-266.9326281899155,-266.9511223409756,-237.91761223498685,-266.9326281899155,-266.9511223409756,0.018494151060110653,154.4733938278157,66341.0,0.0023284755102849775,0.01807594991827101,0.354561799087105,410.94028108056466,429.76814308254626,1.4739709740601518e-06,0,58
AAL,2019-01-10,-1101.2209354346037,-1101.6680614232937,-895.9286273864221,-1101.2209354346037,-1101.6680614232937,0.4471259886900043,14652.986682321367,2452880.0,0.005973788641238612,0.05854633044680802,7.239202196879335,558.7598739986047,776.3290747800567,2.1703199064992008e-05,65,2339
AAL,2019-01-11,-46.52174077868378,-46.66911886517079,3.570092743195289,-46.52174077868378,-46.66911886517079,0.14737808648700934,14242.341821969861,958359.0,0.014861176054035974,0.10064069327803486,6.857904132606098,422.2700979446601,544.8262277916186,1.3812588251912658e-05,114,2330
AAL,2019-01-14,-54.44531322442681,-54.64332554056202,-109.44069845986608,-54.44531322442681,-54.64332554056202,0.19801231613520542,13849.54978695482,811258.0,0.017071695794623684,0.1802834258350515,6.8221571648654376,240.47354589677172,546.6164390503257,2.887423608758169e-05,60,2338
AAL,2019-01-15,-231.83847051871095,-232.0339366044263,-97.63795928480364,-231.83847051871095,-232.0339366044263,0.19546608571533852,13567.509346931492,986639.0,0.013751239660029143,0.1385508977873473,6.79468322990767,129.56868163861296,318.66331445375073,2.2655625064437607e-05,38,2339
AAL,2019-01-16,-120.20333146965089,-120.40067420316979,-59.412260174129024,-120.20333146965089,-120.40067420316979,0.19734273351889442,13660.560880481142,1276241.0,0.010703747082628706,0.05174850537445568,6.408209913201462,199.20928135749156,316.2296388883953,1.5014843656620085e-05,60,2334
AAL,2019-01-17,40.5988728788654,40.43755034431833,56.87600565573179,40.5988728788654,40.43755034431833,0.16132253454706813,13236.892974261187,780639.0,0.016956484334322508,0.16692734959494868,6.4383975166191165,104.44997293558009,294.8743047875305,1.9670932265779826e-05,60,2335
AAL,2019-01-18,26.791291606806695,26.525713151378255,50.86475205631311,26.791291606806695,26.525713151378255,0.2655784554284395,13074.339498782163,884485.0,0.014781866847693476,0.1366474880333886,6.424955116255651,299.19140866637,473.25450613766657,2.267618418404929e-05,42,2338
AAL,2019-01-22,-306.73266505276143,-306.8258765057936,-166.55521752278435,-306.73266505276143,-306.8258765057936,0.09321145303215417,13043.380801730598,1238094.0,0.010535048874908205,0.08502054499237607,6.246518789210593,172.08801379756673,345.5517939386011,1.611972664745335e-05,46,2337
AAL,2019-01-23,-854.8620229190877,-855.0135529887684,-558.7946842269364,-854.8620229190877,-855.0135529887684,0.15153006968068894,13648.413833543465,1667535.0,0.008184784027647675,0.04859584880841615,6.506193737938094,373.72694753906904,551.1354695399237,1.5368470100791606e-05,43,2340
AAL,2019-01-24,0.6762746775240203,0.5593309083374152,-165.37510011796337,0.6762746775240203,0.5593309083374152,0.1169437691866051,13852.89709229278,1569618.0,0.008825648719811304,0.08095023776474926,6.76198715471711,274.86780448901857,413.78234079519564,1.0781735490290488e-05,66,2336
AAL,2019-01-25,12.386095709855056,12.14731862703627,346.88264741527126,12.386095709855056,12.14731862703627,0.2387770828187854,14251.087620372233,1665908.0,0.008554546601836495,0.07761583947405468,6.902295419634603,351.73199254922275,572.7232544764661,1.790627738051942e-05,43,2333
AAL,2019-01-28,740.1729255770139,739.9935423525243,465.68354824870494,740.1729255770139,739.9935423525243,0.17938322448958388,14557.336614248017,1832148.0,0.007945502554514164,0.07558488468394887,7.0351267777612225,138.26587299043362,295.26353659203,1.314454138284099e-05,36,2340
AAL,2019-01-29,83.18026774215106,83.02343683807226,27.81277530496274,83.18026774215106,83.02343683807226,0.1568309040788023,14542.422629419994,1091381.0,0.013324789994896368,0.0954549897387538,6.911735972529897,75.67522884521433,237.5222732276447,1.8112030215604465e-05,83,2338
AAL,2019-01-30,186.43826499374893,186.19366682215687,35.31583713068862,186.43826499374893,186.19366682215687,0.24459817159205954,14455.790125824567,1177845.0,0.01227308357706198,0.0758508675055624,7.0772558378921735,239.5178811523429,493.026950040736,1.6222794285338654e-05,45,2340
AAL,2019-01-31,0.46695130310939703,0.3533933407513956,-8.270437705833071,0.46695130310939703,0.3533933407513956,0.11355796235800142,14819.42723674033,1205750.0,0.012290630094746282,0.07190869019677779,6.975936262764229,125.01397845734664,314.30227514643855,1.5905529685160402e-05,69,2338
AAL,2019-02-01,-84.65811803915457,-84.83226481203243,-24.51997965273398,-84.65811803915457,-84.83226481203243,0.17414677287786162,14085.544159879631,1035290.0,0.01360540926685241,0.16150383264704746,6.968941743732386,489.3880271487091,645.6173794598136,1.4387083916262214e-05,82,2330
AAL,2019-02-04,-63.33679233340419,-63.49760965469403,-308.4540450931329,-63.33679233340419,-63.49760965469403,0.16081732128984072,13748.31159226045,867614.0,0.0158461154295118,0.08318571468593308,6.662762097749397,576.7486205703959,738.7520000384458,1.2545462523414624e-05,114,2322
AAL,2019-02-05,65.12595552086783,65.14825710788122,-20.04984123690261,65.12595552086783,65.14825710788122,-0.022301587013387802,13682.330018707475,1033244.0,0.013242109335943374,0.14019698964888647,6.687469994421036,488.62902141982624,718.7686233795052,1.6520931244003688e-05,68,2329
AAL,2019-02-06,598.8722102160356,598.5023327237741,32.153656295250336,598.8722102160356,598.5023327237741,0.36987749226148026,13590.126555866811,721063.0,0.018847349754275024,0.17521362371528787,6.6527248360732845,735.2380734848508,974.0731309367166,2.1198678188439485e-05,69,2323
AAL,2019-02-07,650.9625409440002,650.8554056120729,265.74408879595086,650.9625409440002,650.8554056120729,0.10713533192733848,14386.946943823514,1042072.0,0.0138060968376691,0.13630082398965157,6.746977706304526,620.7219943386286,752.1678756306708,8.721458293435157e-06,46,2338
AAL,2019-02-08,235.27452816416633,235.32821784652083,-41.55765890265127,235.27452816416633,235.32821784652083,-0.05368968235450211,13494.384548770158,912136.0,0.014794268123141899,0.1013968767624644,6.387600882767685,694.7490891359973,932.6142812050484,1.4075265998878851e-05,73,2332
AAL,2019-02-11,-569.0551959065261,-569.3971683441528,-497.035783020987,-569.0551959065261,-569.3971683441528,0.3419724376266231,13462.553981896985,837771.0,0.016069491522023305,0.07641721924315474,6.3981938993093275,938.3584999704934,1142.2462740920369,1.2761830511258745e-05,98,2336
AAL,2019-02-12,1218.9469021410055,1218.9553273009979,817.8650685341088,1218.9469021410055,1218.9553273009979,-0.008425159992384579,13846.878238509256,1373178.0,0.010083818877457443,0.05319174151372677,6.579506147117661,711.7780186407352,889.4519118721322,1.0449280740232325e-05,111,2337
AAL,2019-02-13,-63.29565587459771,-63.346299406266866,-245.1184379870267,-63.29565587459771,-63.346299406266866,0.05064353166915225,13800.169695454053,966444.0,0.014279326785053302,0.10211473563811271,6.483984400117112,728.2092639080109,908.6841280731226,1.0024859172320282e-05,65,2337
AAL,2019-02-14,-42.302966535506755,-42.558917089991496,-157.02404011952865,-42.302966535506755,-42.558917089991496,0.25595055448474113,13520.904799603464,846615.0,0.01597054717859176,0.14976015303588427,6.5960738644433805,823.9774638953553,1099.1239713699256,1.3573594267792324e-05,79,2333
AAL,2019-02-15,2234.985719213844,2234.963831023999,1225.2408118898063,2234.985719213844,2234.963831023999,0.021888189844958106,14223.325779750008,1857147.0,0.007658696796618689,0.07016003679434078,6.879307443292693,946.7241372736613,1125.3852315922395,9.988437977876893e-06,100,2335
AAL,2019-02-19,270.46603477266,270.4109346506142,-396.78975489276536,270.46603477266,270.4109346506142,0.055100122045814715,14357.794463943788,1049018.0,0.013686890467030869,0.1341332126860711,6.751843116895463,1077.8007441738216,1268.1562025538933,8.07396573848998e-06,63,2337
AAL,2019-02-20,434.09555156839207,434.14111466472684,15.811837073842554,434.09555156839207,434.14111466472684,-0.0455630963347744,14324.068727176666,1160796.0,0.012339867407517484,0.14194332670079357,6.707031298578875,1093.1990950118168,1226.062546168454,8.021058309286636e-06,73,2337
AAL,2019-02-21,-315.4216029488368,-315.34209023645747,6.99383885115671,-315.4216029488368,-315.34209023645747,-0.07951271237931223,13928.101737682153,1004909.0,0.01386006268993725,0.0766891065498306,6.694384268631896,1242.529749787349,1612.27885649014,1.7473880757454003e-05,38,2340
AAL,2019-02-22,-586.8093697714394,-586.9833593517398,-577.5692715014395,-586.8093697714394,-586.9833593517398,0.17398958030037193,13589.650187068284,918202.0,0.01480028380146012,0.15386930612012148,6.330032740463929,1510.4645683362444,1668.4846478026552,8.467711978394276e-06,69,2333
AAL,2019-02-25,417.6132843974872,417.5081889517073,42.83798667386341,417.6132843974872,417.5081889517073,0.10509544577985253,13075.930352677355,919541.0,0.014220062349234406,0.07028934368158378,6.141471546552851,1445.8958531831554,1747.491669747737,1.3586976000831696e-05,72,2337
AAL,2019-02-26,717.1808706739691,716.9843949717585,-361.52818705904997,717.1808706739691,716.9843949717585,0.1964757022105914,12509.843938498321,976630.0,0.01280919482147622,0.04964356559519903,5.83307741130527,1478.0343897992107,1688.688052327019,8.819358429017774e-06,54,2330
AAL,2019-02-27,913.8294072318599,913.9572680465941,632.2956556275109,913.8294072318599,913.9572680465941,-0.1278608147341629,12605.605210530335,924139.0,0.013640377919912844,0.09167775585918594,5.95844197866877,1497.01189746169,1675.9236861456914,1.0070423504084927e-05,71,2337
