stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-02-13,-534.9426235528736,-330.01252189997786,204.9301016528957,24111.331329075474,871739.2832525155,4797.932298310487,-330.01252189967124
AAL,2019-02-14,-433.077620260711,-214.8286630353996,218.24895722531141,23610.892310210973,854101.783855275,4796.31828042489,-214.8286630351554
AAL,2019-02-15,595.1255771030724,1580.6842897753315,985.5587126722592,24853.876067466746,886345.4355781032,4971.061274120713,1580.6842897753077
AAL,2019-02-19,-1188.1228890592856,-482.5126719466885,705.6102171125972,25095.986013141755,895053.8089756607,4995.624735526737,-482.5126719466606
AAL,2019-02-20,-263.94684100454594,23.557962658871133,287.5048036634171,25032.21442663028,877140.5982541875,4990.251689993158,23.55796265896393
AAL,2019-02-21,371.32313436062384,-4.432797076619124,-375.75593143724296,24327.073414435763,852639.4257852202,4826.927110140246,-4.43279707623482
AAL,2019-02-22,-625.2809270142961,-687.4620177874491,-62.18109077315296,23755.744534599067,840907.1898077885,4863.957986327447,-687.4620177877018
AAL,2019-02-25,-309.8421118257945,79.06309385939505,388.90520568518957,22849.125706757608,822293.538737038,4532.4050117829975,79.06309385973964
AAL,2019-02-26,-1579.1278101038552,-438.009305088047,1141.1185050158083,21858.81665377409,796420.6019568732,4349.673888781764,-438.00930508774866
AAL,2019-02-27,424.33027681783375,716.3754079010278,292.045131083194,22034.511251431453,785607.9925116432,4473.514043987804,716.3754079013047
AAL,2019-02-28,613.5058092746078,26.31032062548897,-587.1954886491188,21481.236161953828,763372.6921199139,4161.802886691362,26.3103206253696
AAL,2019-03-01,1853.6014852106728,2064.7359739255708,211.134488714898,21548.153911876914,749060.3724308962,4257.231539091975,2064.7359739254453
AAL,2019-03-04,2483.7648963376173,2826.734917557882,342.9700212202647,21438.964934291384,729394.0530558357,4315.542405812443,2826.7349175582917
AAL,2019-03-05,1496.158509749568,2009.5181907984943,513.3596810489262,21706.65281748469,725073.1928207468,4394.175787103346,2009.518190798656
AAL,2019-03-06,1435.8418709870284,1142.8986621785943,-292.94320880843406,21713.105214760762,714288.5507418537,4360.3895421040215,1142.8986621785123
AAL,2019-03-07,1311.8650089820626,893.8299326421097,-418.03507633995287,22032.04567483523,706865.9594294403,4398.516317428966,893.8299326418881
AAL,2019-03-08,-110.36056782739675,-378.6974250116001,-268.3368571842034,20756.06929207698,662110.0580080354,4045.068010275542,-378.6974250126189
AAL,2019-03-11,-1073.1620946719358,-1052.3908465345078,20.771248137428074,21592.504074864588,691994.1271572935,4274.337669508827,-1052.3908465345842
AAL,2019-03-12,1477.9020828337113,3195.7213353075776,1717.8192524738663,22117.21411195756,693684.8727359379,4415.572402166372,3195.7213353072293
AAL,2019-03-13,-706.4812227165339,-1638.6678998358836,-932.1866771193497,22026.068772539365,695466.4961878476,4340.885797485768,-1638.6678998358827
AAL,2019-03-14,806.5462186701201,-481.18854622664395,-1287.734764896764,21824.87846248752,699109.4448600499,4388.738750871717,-481.18854622699223
AAL,2019-03-15,1213.3426221388638,2135.1946504946372,921.8520283557734,21917.249157115883,698053.6885407896,4372.420262556836,2135.1946504941398
AAL,2019-03-18,1314.1262941232103,392.345757383014,-921.7805367401963,20632.717588501786,645282.0787789017,4245.481658804747,392.34575738293984
AAL,2019-03-19,-357.8165401543007,-125.13689447607373,232.67964567822696,20582.893041444564,655872.8902414534,4113.071841362736,-125.13689447672232
AAL,2019-03-20,1187.7557753919175,1304.8564755266805,117.10070013476297,20252.530182158607,629161.7479399303,4035.537779544624,1304.8564755271998
AAL,2019-03-21,-1274.828496263865,-1405.957555914216,-131.1290596503511,19992.620151819225,625689.3846393963,3926.2180148344214,-1405.957555913857
AAL,2019-03-22,1125.233331344154,2312.32441218919,1187.0910808450358,20234.47667067078,624785.3918430011,4062.323998022711,2312.324412189736
AAL,2019-03-25,1837.3344676396591,985.1606140745143,-852.1738535651448,20117.309521851144,611681.1196244612,3929.168823755483,985.1606140741776
