date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,95.02809102270326,235.2803325272265,-140.25224150452303,469968.19997675135,2.6401519701422806e-05
2019-01-03,-9600.900404387703,-8966.65061499151,-634.2497893961952,599811.0727060074,4.2379195544257675e-05
2019-01-04,2251.6349540795172,2290.3353196705607,-38.70036559104351,635366.428471924,3.2017080252316425e-05
2019-01-07,2937.6755411893246,905.2123149735943,2032.4632262157302,618703.4682633996,5.45669923983752e-05
2019-01-08,-6900.553813055966,-7004.385023385129,103.8312103291633,600546.9134010524,3.6857840648361994e-05
2019-01-09,75.34489607965668,-181.0001669082798,256.3450629879365,5028.186396673953,1.0215969261763174e-05
2019-01-10,-2390.1415560054015,-1240.871220567302,-1149.2703354380994,497284.6463117746,7.076094979653288e-05
2019-01-11,-526.268767433095,-685.8456890479385,159.57692161484354,485734.9982713579,6.503990331391417e-05
2019-01-14,5506.221694053324,3329.3020179357827,2176.9196761175417,474036.66353796615,4.643810538141328e-05
2019-01-15,-1416.7322239012076,-1300.197095651351,-116.5351282498566,467065.5334584078,5.605651014586539e-05
2019-01-16,-14.47379472425624,1380.1933485381962,-1394.6671432624526,463156.96250507445,3.661385359004725e-05
2019-01-17,-1230.3701782378412,-159.62807821524476,-1070.7421000225966,456250.9118495553,4.4644430547044815e-05
2019-01-18,1416.1971513267627,-694.4805962734142,2110.677747600177,459066.9272324378,3.8874089507505555e-05
2019-01-22,-294.4662236926223,2714.5544860836926,-3009.020709776315,457884.4408673447,3.3633159654523524e-05
2019-01-23,4761.524015316084,3634.430360166995,1127.0936551490893,458175.0213459899,4.0374012555083855e-05
2019-01-24,2985.411651591121,766.3198258854965,2219.091825705624,462002.9481906159,3.9118347912628456e-05
2019-01-25,-904.4648538307024,-905.259469881494,0.7946160507916513,466920.22655848495,3.099537632157443e-05
2019-01-28,922.8756745419319,1571.7513982346816,-648.8757236927497,471700.8168977576,4.2146651958507654e-05
2019-01-29,-538.2255790078084,1833.3181792067542,-2371.543758214563,473933.060549249,3.1965138762923084e-05
2019-01-30,-212.982850928162,-433.3465471402495,220.36369621208752,487733.07994849724,4.209356112176101e-05
2019-01-31,-690.6546491430164,-263.4144514647668,-427.2401976782497,494373.9287001609,3.198880313349463e-05
2019-02-01,-2292.1336274098744,-3019.563221261039,727.4295938511648,484240.58727803157,3.80224363129117e-05
2019-02-04,-1626.478602786789,-220.31435624797552,-1406.1642465388134,468255.67636329593,3.7761356864203376e-05
2019-02-05,925.0211712563428,2662.461719631662,-1737.4405483753194,467097.86139188736,3.7497835156611534e-05
