stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,17.682458040764512,-77.80558915593039,95.48804719669491,16386.259432255247,58.39288002658971,251.24970939081015,1.9255882330244343e-05,2339
AAL,2019-01-03,65.39262602486991,82.22977642697704,-16.837150402107127,33613.85151454731,116.60040250509938,387.99453387040245,2.3793373010187822e-05,2338
AAL,2019-01-04,-276.2874585336225,-269.2418772203585,-7.045581313263995,32631.363164463855,224.68436518974698,683.9062292088884,3.2017080252316425e-05,2324
AAL,2019-01-07,43.4295174512792,108.27497793792239,-64.84546048664319,31375.091431983972,153.83671385981484,558.609614493488,2.7770572994154925e-05,2335
AAL,2019-01-08,184.07405250764856,134.8446766293622,49.22937587828636,29588.85341202127,182.84144706913122,503.8109341564073,2.7180170772783193e-05,2333
AAL,2019-01-09,1.778700527325523,2.5913806127182717,-0.8126800853927487,244.81378980696718,11.617125186515556,22.86247447915808,2.6394052625575466e-06,58
AAL,2019-01-10,-504.0581569490353,-340.63283388488446,-163.42532306415086,29104.628819208112,217.61083738441465,544.0820973079751,3.802765183976206e-05,2339
AAL,2019-01-11,-8.650210229357466,42.77319084784038,-51.42340107719785,28317.495756484117,125.43759122058432,337.50794644400366,2.8562975424125716e-05,2330
AAL,2019-01-14,81.9844559451474,344.43682343037193,-262.4523674852245,27521.461681744433,264.5466626685463,647.6370592690826,4.643810538141328e-05,2338
AAL,2019-01-15,-114.226522703752,-65.35664825274759,-48.86987445100441,26957.565729558963,252.91254674420864,602.4183964539739,4.809765209828009e-05,2339
AAL,2019-01-16,-105.64713866107893,143.5873490922472,-249.2344877533261,27153.359111923528,91.52596228041884,363.7994606071133,2.4542635812378058e-05,2334
AAL,2019-01-17,70.92499666319297,138.79708833950056,-67.87209167630759,26293.878149424236,173.53767552570335,492.8972082222282,3.0275652122029984e-05,2335
AAL,2019-01-18,37.82020267812746,160.46204651118117,-122.64184383305371,25987.64567561687,172.58950564361947,528.537497639309,3.631478784124093e-05,2338
AAL,2019-01-22,38.95367247464589,254.7556457598024,-215.80197328515652,25924.223029574485,126.47004504599614,392.0915374140528,2.7773170499862916e-05,2337
AAL,2019-01-23,-218.61597361224153,-152.3702943592972,-66.24567925294434,27125.595094609125,109.586171680242,400.90428132064847,2.2229629329103485e-05,2340
AAL,2019-01-24,58.643986494333774,62.91852857887127,-4.274542084537494,27543.47754074094,92.70617731498562,324.65623351810825,1.6562704818370332e-05,2336
AAL,2019-01-25,26.72048403145662,-12.734646969221203,39.455131000677824,28323.60678893217,120.54114842097935,474.6689397529376,2.9698509176721168e-05,2333
AAL,2019-01-28,-90.72056214616063,-23.65433402221507,-67.06622812394556,28932.700718099182,163.0225719839916,426.963185901812,2.1822879480285127e-05,2340
AAL,2019-01-29,57.17890810223278,-47.06562317676016,104.24453127899295,28894.57803559706,142.84022106081534,499.49232546861776,2.9834885209160414e-05,2338
AAL,2019-01-30,-3.385472760796919,8.672674834048927,-12.058147594845845,28703.958736862354,201.2308432231353,473.8660094783285,3.125025780322336e-05,2340
AAL,2019-01-31,-73.18468659996208,-123.59695554501276,50.412268945050684,29444.287132006488,153.87348609949674,492.56673563870663,2.217022908850316e-05,2338
AAL,2019-02-01,0.38987935641384297,83.70207746836843,-83.31219811195459,27994.08425206701,243.6071033431086,494.0046471590094,2.1010724426275945e-05,2330
AAL,2019-02-04,4.559080885689877,-35.46901929623759,40.02810018192747,27337.62348111875,119.2493036587192,386.8693814192092,2.661938448326553e-05,2322
AAL,2019-02-05,72.87597513376589,44.16086229363368,28.715112840132214,27185.408906784956,150.7420569314003,438.64168439704787,3.1213892364935635e-05,2329
AAL,2019-02-06,3.6551688844924737,-112.74877084459196,116.40393972908443,27012.3132556062,223.04441925647487,525.3744534236212,4.1730394999165275e-05,2323
AAL,2019-02-07,80.70155963785564,21.629768498063335,59.0717911397923,28626.637272249016,84.05319528918702,311.14435202404115,1.5969576486357816e-05,2338
AAL,2019-02-08,25.12218521565336,-89.87101865393404,114.9932038695874,26830.513703803295,168.0678148896424,495.90086796152315,2.0392376895947554e-05,2332
AAL,2019-02-11,-53.23320836552323,-8.02827834894956,-45.20493001657367,26785.16184278471,149.52174518955647,469.21497132157367,2.3137306277129366e-05,2336
AAL,2019-02-12,-108.4032005834303,26.11879645340682,-134.52199703683712,27558.931856227067,148.97240171195662,418.1765419742908,1.651262412959482e-05,2337
AAL,2019-02-13,-18.311708406426785,16.499148069999045,-34.810856476425826,27460.24541226685,124.7833973600326,395.97923744163216,1.6738711550983155e-05,2337
AAL,2019-02-14,-4.594014704952695,-116.4090505610913,111.8150358561386,26886.631618592968,204.8152097160379,511.5980758680789,1.9060486603932502e-05,2333
AAL,2019-02-15,290.9801897006746,81.7047294299619,209.2754602707127,28311.108132400226,191.7846188279519,479.38608376935525,1.4184795911018536e-05,2335
AAL,2019-02-19,93.15379578226825,38.278563729485924,54.87523205278232,28587.707582251467,101.92046561967648,374.78755953052405,1.1874330281151573e-05,2337
AAL,2019-02-20,19.043727503903334,58.6690294706569,-39.62530196675357,28513.621677208983,93.63574188102342,354.49414907303753,1.6288000968508836e-05,2337
AAL,2019-02-21,-110.7291700520973,7.435532874815962,-118.16470292691326,27706.168740208843,269.46466026504237,737.7270867892988,2.3462475308695705e-05,2340
