stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-77.80558915593039,17.682458040764512,95.48804719669491,16386.259432255247,528813.5736408904,3260.333082820179,17.68245804076096
AAL,2019-01-03,82.22977642697704,65.39262602486991,-16.837150402107127,33613.85151454731,1006708.8391354291,6818.061081042884,65.39262602485522
AAL,2019-01-04,-269.2418772203585,-276.2874585336225,-7.045581313263995,32631.363164463855,1033834.2531836173,6724.986378896405,-276.28745853358214
AAL,2019-01-07,108.27497793792239,43.4295174512792,-64.84546048664319,31375.091431983972,1032846.4876759185,6332.628375034949,43.42951745127877
AAL,2019-01-08,134.8446766293622,184.07405250764856,49.22937587828636,29588.85341202127,966355.478182521,6063.201888992781,184.07405250769165
AAL,2019-01-09,2.5913806127182717,1.778700527325523,-0.8126800853927487,244.81378980696718,7990.525820170301,53.37244617612384,1.778700527325713
AAL,2019-01-10,-340.63283388488446,-504.0581569490353,-163.42532306415086,29104.628819208112,909136.8785515132,5915.784874779574,-504.0581569490166
AAL,2019-01-11,42.77319084784038,-8.650210229357466,-51.42340107719785,28317.495756484117,895827.4954351226,5856.488488057854,-8.650210229362068
AAL,2019-01-14,344.43682343037193,81.9844559451474,-262.4523674852245,27521.461681744433,870352.9300303994,5546.818141410625,81.98445594518893
AAL,2019-01-15,-65.35664825274759,-114.226522703752,-48.86987445100441,26957.565729558963,865542.2081861445,5667.685722419707,-114.2265227037355
AAL,2019-01-16,143.5873490922472,-105.64713866107893,-249.2344877533261,27153.359111923528,901929.9910287502,5402.23294902043,-105.64713866106707
AAL,2019-01-17,138.79708833950056,70.92499666319297,-67.87209167630759,26293.878149424236,875271.3178330751,5335.999798555538,70.92499666321676
AAL,2019-01-18,160.46204651118117,37.82020267812746,-122.64184383305371,25987.64567561687,878933.489971282,5401.992071196277,37.820202678118804
AAL,2019-01-22,254.7556457598024,38.95367247464589,-215.80197328515652,25924.223029574485,858871.2317520346,5426.962299333563,38.95367247464799
AAL,2019-01-23,-152.3702943592972,-218.61597361224153,-66.24567925294434,27125.595094609125,874322.8485413982,5583.014905881384,-218.6159736122517
AAL,2019-01-24,62.91852857887127,58.643986494333774,-4.274542084537494,27543.47754074094,917292.6389165621,5573.220247345551,58.64398649435412
AAL,2019-01-25,-12.734646969221203,26.72048403145662,39.455131000677824,28323.60678893217,993379.2210487037,5850.596146746307,26.720484031466505
AAL,2019-01-28,-23.65433402221507,-90.72056214616063,-67.06622812394556,28932.700718099182,1046375.602104166,6013.895610774567,-90.720562146161
AAL,2019-01-29,-47.06562317676016,57.17890810223278,104.24453127899295,28894.57803559706,1055155.6721337812,5904.032880373423,57.17890810223482
AAL,2019-01-30,8.672674834048927,-3.385472760796919,-12.058147594845845,28703.958736862354,1045395.5985286939,5822.823064733204,-3.3854727608271595
