,total
net_pnl,-8401.288917882735
gross_pnl,-3639.623993706864
impact_cost,4761.664924175873
predicted_alpha,50826981.06881494
realised_alpha,-3639.62399371163
turnover,95707446.54880482
gross_notional,11695748455.16811
