,total
net_pnl,1588.5177311631344
gross_pnl,1590.838840970507
mid_raw_pnl,2064.4844820133976
impact_cost,2.3211098073722334
predicted_alpha,2510.6517859123514
realised_alpha,2168.547462856
turnover,1363312.138384191
gross_notional,149320015.82883444
flow_flag_count,410775.0
