stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-50.395628824079594,41.34906752691532,91.74469635099491,14382.41660231336,464121.1311359901,2860.921715303889,41.3490675269103
AAL,2019-01-03,194.32985270485167,183.4128623915237,-10.916990313327972,29508.533158151098,883910.7948782385,5983.565884619011,183.4128623915095
AAL,2019-01-04,-206.97770349011648,-246.36322674270681,-39.38552325259033,28648.92739030828,907571.5818499618,5900.638168074862,-246.3632267426718
AAL,2019-01-07,155.6428109314839,115.1829677740338,-40.459843157450095,27541.710045594664,906580.6405227354,5556.775554568148,115.18296777403393
AAL,2019-01-08,137.9977458449398,183.19841087292312,45.20066502798332,25973.205190153567,848330.8025847625,5319.199983921337,183.1984108729626
AAL,2019-01-09,6.884267435782121,6.055855557013043,-0.828411878769078,269.129680491029,8768.42160746314,58.59185317907376,6.055855557013298
AAL,2019-01-10,-243.73060218831827,-395.12465339588175,-151.39405120756348,25553.964096684937,798189.2363285234,5189.830100264908,-395.1246533958654
AAL,2019-01-11,58.31074803146722,17.34759069124572,-40.9631573402215,24860.281773714705,786465.6089858394,5138.026518427409,17.347590691242594
AAL,2019-01-14,329.9151339354235,75.58092198274946,-254.33421195267405,24162.855343999487,764114.4290305912,4867.380460847939,75.58092198278973
AAL,2019-01-15,-22.96674710611417,-59.958647966758704,-36.991900860644535,23669.24104579026,759938.3355021622,4973.625446042402,-59.95864796674418
AAL,2019-01-16,157.56998144381342,-94.6332249419826,-252.20320638579602,23838.016582153385,791773.1232331444,4739.726538584955,-94.633224941973
AAL,2019-01-17,146.68704062004207,104.94509904069844,-41.74194157934363,23087.107509415495,768498.003068212,4681.7843982447075,104.94509904072432
AAL,2019-01-18,154.13307098377584,37.556810293823446,-116.57626068995239,22814.973330327884,771624.7796822634,4739.3893566914585,37.556810293819424
AAL,2019-01-22,262.8054017834797,60.97735002455507,-201.8280517589246,22760.10247813802,754084.5869325747,4762.326192032811,60.97735002455553
AAL,2019-01-23,-104.11307712281334,-181.8432879539894,-77.73021083117607,23814.659243240847,767654.8100280572,4898.208615515663,-181.84328795399657
AAL,2019-01-24,98.20547023713777,93.94384147806858,-4.261628759069197,24180.202956207657,805344.0492605963,4889.588683261083,93.94384147808773
AAL,2019-01-25,29.508473994962703,48.16933303260222,18.660859037639515,24867.663242806782,872094.2900048562,5132.015022725762,48.16933303261236
AAL,2019-01-28,-8.375895457581825,-94.57051195024754,-86.19461649266572,25401.138867650247,918547.6243066995,5276.273345821504,-94.5705119502488
AAL,2019-01-29,-9.559012923649064,63.89420745489416,73.45322037854322,25370.02422719219,926473.4336247111,5181.715176591572,63.89420745489821
AAL,2019-01-30,27.78723289956571,42.08524990837167,14.298017008805964,25205.444954214443,917983.1547900911,5110.039837057888,42.08524990834258
AAL,2019-01-31,-129.9034760373533,-67.79887631625152,62.10459972110178,25852.8872505202,932764.7744571085,5116.936752100185,-67.79887631626369
AAL,2019-02-01,98.9438969645156,10.11283583424111,-88.83106113027449,24577.80764867657,891926.1622848429,5057.497395707188,10.1128358342755
AAL,2019-02-04,-31.09964880802293,12.336924597801067,43.436573405824,23998.97262952471,879324.3932737419,4792.2847382330165,12.336924597810842
AAL,2019-02-05,15.63122812699649,70.06055489730586,54.42932677030937,23868.97386662863,881818.4454622536,4780.888872792836,70.06055489732537
AAL,2019-02-06,-92.76365558077273,33.09165346281947,125.8553090435922,23716.753272354807,873079.9508970157,4802.549068075082,33.091653462801744
AAL,2019-02-07,19.432104154507883,58.60326106820415,39.171156913696265,25127.079282635365,912585.8279211868,5143.929604485312,58.603261068218664
AAL,2019-02-08,-85.80175711267086,49.93776687005507,135.73952398272593,23556.338648311863,843674.96022736,4738.856256548741,49.937766870106074
AAL,2019-02-11,3.6095456026319734,-34.06869727660841,-37.678242879240386,23513.89983731197,856858.7167991558,4781.4983812099,-34.06869727664072
AAL,2019-02-12,28.470392155283346,-89.81654944105563,-118.28694159633898,24189.476049679943,886925.3867355885,4905.961355865071,-89.81654944105429
AAL,2019-02-13,31.06680904362037,10.825176539899083,-20.241632503721288,24103.640577985363,871461.2658672683,4797.809409891206,10.825176539854912
AAL,2019-02-14,-100.4686030458505,0.5334672631741704,101.00207030902467,23603.893826098087,853848.5246341579,4796.216430751829,0.53346726319986
AAL,2019-02-15,105.84870394936645,307.38576207664744,201.537058127281,24847.412533154504,886115.1066769251,4970.9691716256675,307.3857620766487
AAL,2019-02-19,33.906132863438316,93.5921290271788,59.685996163740484,25089.685302437,894828.9662642665,4995.529915418746,93.5921290271869
