date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,2059.232455866309,1923.5899673786878,135.6424884876215,412492.7717380397,2.4246126012352806e-05
2019-01-03,-5868.216634953621,-5318.4818744608165,-549.7347604928054,526474.4415394324,3.750074555353751e-05
2019-01-04,2894.484779553873,2910.9159167197986,-16.43113716592537,557702.1100252413,3.0210805027021838e-05
2019-01-07,3665.1564048482333,1350.5897679618263,2314.5666368864067,543079.6339163799,4.959305401558512e-05
2019-01-08,-5067.928297295133,-5476.604396717331,408.6760994221974,527125.5804875917,3.2727518213511e-05
2019-01-09,181.8071657178398,111.57796551850691,70.22920019933296,5505.841643794799,1.0695276025243793e-05
2019-01-10,-1176.6407922595881,70.60178094825812,-1247.2425732078461,436592.51445644005,6.408233693410749e-05
2019-01-11,174.58715247423524,340.13186684831606,-165.5447143740809,426423.8324125762,6.016172293013348e-05
2019-01-14,5782.644685956646,3721.219933092831,2061.4247528638143,416143.9028863533,4.299493260095801e-05
2019-01-15,36.92713523596531,69.65883971831647,-32.73170448235122,410026.7314547036,5.139692587766856e-05
2019-01-16,1261.014123747814,2733.7823531579998,-1472.7682294101855,406564.8645896191,3.2681742158652575e-05
2019-01-17,-686.9408444919628,87.85640853749473,-774.7972530294575,400521.72657959,4.06751855156419e-05
2019-01-18,1826.6973251390204,-76.99815288991597,1903.6954780289363,402965.6380156513,3.532617656909017e-05
2019-01-22,634.8263637315227,3712.027077914439,-3077.2007141829163,401934.6423160017,2.9965113483846024e-05
2019-01-23,5205.589375808722,4321.1153496587785,884.4740261499435,402200.75134889485,3.703997700176744e-05
2019-01-24,3469.9825603511877,1234.9819493679454,2235.0006109832416,405530.4226841869,3.548455896343906e-05
2019-01-25,-114.11285133264902,122.87916908945854,-236.9920204221075,409834.8325360033,2.795017611745797e-05
2019-01-28,1484.934574394117,1876.7991101757514,-391.8645357816347,414036.6646261988,3.778719025540865e-05
2019-01-29,676.9115766802461,2278.4907139523298,-1601.579137272084,415992.941099617,2.8599305015981366e-05
2019-01-30,941.517431978037,241.21833134223237,700.2991006358048,428131.5104264134,3.774277673809699e-05
2019-01-31,486.5278346671173,709.4184660380878,-222.89063137097062,433987.76364236383,3.059080734303554e-05
2019-02-01,-1398.3982823832575,-1838.060211713252,439.6619293299946,425051.57244272507,3.612087455239866e-05
2019-02-04,-1577.5909153462942,-165.9477227293682,-1411.6431926169262,411044.8219987983,3.5626675730220104e-05
2019-02-05,1093.129466672335,2827.1430925699146,-1734.0136258975795,410015.24016216176,3.448094290016762e-05
2019-02-06,1172.4492818767133,-1766.4805489825492,2938.929830859262,407173.2248903144,3.778859855745243e-05
2019-02-07,-546.4522531976869,1045.4395135394618,-1591.8917667371486,432931.8186931185,2.9751250834466818e-05
2019-02-08,-1439.320351266109,-659.5093029342094,-779.8110483318999,427139.24534410733,2.19915903279446e-05
2019-02-11,1233.0260359916153,1303.7154605992387,-70.68942460762328,425376.37096545735,2.6118278187697324e-05
2019-02-12,634.7298530262137,1081.2842533211103,-446.5544002948967,426547.8138526515,2.1788858476023456e-05
2019-02-13,-465.8555234228135,-85.3660889303921,-380.4894344924214,426069.3449146099,1.874998069489511e-05
2019-02-14,2452.2308953121515,3357.290494970636,-905.059599658484,425453.0403106532,3.7307575644699714e-05
2019-02-15,10.37938464728429,665.749762919897,-655.3703782726126,428940.29505817685,2.5237703222664666e-05
2019-02-19,1216.0972773676965,357.3433622998824,858.7539150678139,423422.8755862444,2.3650904707041134e-05
2019-02-20,-95.7143353926658,-1171.8353160890913,1076.1209806964252,423169.42608655995,2.45388472639442e-05
2019-02-21,1322.1804641217084,2193.972326938403,-871.7918628166944,419808.3105819326,2.255912204995177e-05
2019-02-22,20.90947025268592,221.399572775314,-200.49010252262798,410050.81246098335,2.530086751423553e-05
2019-02-25,227.5664559662465,-266.6426605309005,494.20911649714697,403172.69553750445,2.2631617756694666e-05
2019-02-26,1541.4920587846043,1768.464276342711,-226.97221755810656,394597.7891361129,1.6819356494557225e-05
2019-02-27,1563.300677134568,1291.76880652646,271.5318706081082,388719.63670030626,2.7085644388065096e-05
2019-02-28,84.52042426665795,-263.56801139313876,348.0884356597967,366353.41941558814,1.9650005219750545e-05
2019-03-01,1064.2315065175726,1737.0019188033946,-672.7704122858221,357381.43340717594,1.5166486411033683e-05
2019-03-04,1876.4364590079736,1442.5403484031951,433.89611060477824,357021.69750324416,1.9676861764322797e-05
2019-03-05,-406.03947942891324,-279.7405277856948,-126.2989516432184,349344.76817352895,1.484584474125039e-05
2019-03-06,581.205699465193,405.0555070039849,176.15019246120806,345031.5557696763,1.9750236342609927e-05
2019-03-07,2217.715487963127,511.55639302493825,1706.1590949381891,342819.223346514,1.9866433934671164e-05
2019-03-08,1039.4443951026071,520.1420115174316,519.3023835851757,319923.4799729142,1.6228247414359678e-05
2019-03-11,219.0530903830084,118.39665753041618,100.65643285259227,331993.02642520785,1.826963552048942e-05
2019-03-12,811.2174274594249,332.4842091811066,478.73321827831836,332760.341380675,1.7089305728807086e-05
2019-03-13,-89.54526787146484,841.6668218325386,-931.2120897040035,330393.39097176056,2.3354013833072336e-05
2019-03-14,-776.1254311658136,-880.0374342834954,103.91200311768185,329452.9209053231,2.1845442830808056e-05
2019-03-15,-1508.1805497519106,-139.18070941612024,-1368.9998403357902,330048.83569851634,1.5524264384989297e-05
2019-03-18,150.32516240464764,537.5463887979555,-387.22122639330786,323807.99191002443,1.356034636226209e-05
2019-03-19,957.1918561713936,941.8551810796164,15.336675091777298,337348.45222148026,1.5974060536482883e-05
2019-03-20,-897.4697513257834,-545.130533103246,-352.33921822253745,342383.20801339834,1.3848306528387252e-05
2019-03-21,-1129.9018432546357,-1433.2278118237707,303.32596856913506,350485.1046828025,1.7948165984785725e-05
2019-03-22,3033.089298277951,3952.3890007801256,-919.2997025021746,358181.35539248394,1.970646863088801e-05
2019-03-25,-271.9254010239447,1009.210751950179,-1281.1361529741237,358268.6651655912,2.1009570707050955e-05
2019-03-26,4314.259766637128,3404.360576216299,909.8991904208299,361610.35181205935,1.8334418119675585e-05
2019-03-27,2064.9797880304955,1165.985338546874,898.9944494836215,365561.41538671224,1.5506711347552233e-05
2019-03-28,1916.0256551972866,2065.136023334474,-149.1103681371873,366049.0529949324,2.3085564522501777e-05
2019-03-29,490.94029646554606,-49.43743932578046,540.3777357913266,364868.43315349804,1.5447247363654536e-05
2019-04-01,1093.087878067649,819.3147031868625,273.77317488078626,363601.25706998404,1.7846080761967248e-05
2019-04-02,382.04170902739816,-816.1650299040589,1198.206738931457,364424.43261833367,1.844369092126751e-05
2019-04-03,-535.624394005293,-210.51276739974224,-325.1116266055508,374713.8259814869,2.3368743951503544e-05
2019-04-04,2372.7443435741907,-399.3493708459653,2772.093714420156,373308.89425195195,1.9339154582330205e-05
2019-04-05,-698.5972295129109,-321.7218443867332,-376.8753851261776,374391.81939096015,2.2554420942740816e-05
2019-04-08,2381.4056328180186,2055.381569378531,326.0240634394877,373714.624530757,1.9955184931471203e-05
2019-04-09,575.0862611047548,852.8109484561661,-277.72468735141115,372085.03749785724,2.0820173086744082e-05
2019-04-10,-955.1529716604591,188.08210528544845,-1143.2350769459076,371385.02417895733,1.8220045508579095e-05
2019-04-11,-646.2232798206173,-762.8429282297485,116.61964840913107,368692.17077258363,2.204023907430095e-05
2019-04-12,1623.3631013385987,217.09779820102938,1406.2653031375692,365161.6712666355,1.705522098520992e-05
2019-04-15,-1464.0058801739729,-672.1783318339561,-791.8275483400166,363966.9629942288,2.387364951851837e-05
2019-04-16,583.5998208699057,497.61104406899267,85.98877680091306,352836.5336951916,1.792505018339745e-05
2019-04-17,1086.322790882634,707.3678874070525,378.95490347558166,345423.67317445064,1.7871462492042834e-05
2019-04-18,-324.1665594526717,-774.7085644103241,450.5420049576524,333396.19380446314,1.6388206344950976e-05
2019-04-22,3277.1943273621246,2423.124211787196,854.0701155749284,322439.9223821556,1.6867185928857318e-05
2019-04-23,-480.70648696691353,-851.077393276723,370.37090630980947,319789.22993891954,2.4095480904271458e-05
2019-04-24,-670.4887214286542,115.19348602679705,-785.6822074554511,317390.6673901458,2.5936974035724656e-05
2019-04-25,323.6509947096862,264.06506860308775,59.58592610659851,316441.88446508936,2.0204218998239507e-05
2019-04-26,-3120.9176560024825,-2854.657125147741,-266.26053085474075,315916.68930122006,1.5721536334180604e-05
2019-04-29,249.68312816442256,97.39308495329539,152.29004321112723,314425.60803813726,1.8714669001864473e-05
2019-04-30,-1584.6657648785686,-738.5956270624682,-846.0701378161004,318453.2733952723,1.9560455153743677e-05
2019-05-01,-2606.46909825661,-1870.7620311980716,-735.7070670585377,329146.90974671446,2.0802743533240055e-05
2019-05-02,-593.0248996891874,-1486.8643387688119,893.8394390796245,324052.46551566967,2.2754229521528366e-05
2019-05-03,-702.2936990027134,-591.4023392641941,-110.89135973851934,319944.76875176927,1.719573702933776e-05
