stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-31.251630226130693,28.723509749673738,59.97513997580443,14929.77644618417,481776.07965586666,2865.4971223013517,28.723509749669056
AAL,2019-01-03,206.5261348692764,146.73418045584725,-59.79195441342915,30980.164494781246,928056.9516347125,5998.463559576909,146.73418045583367
AAL,2019-01-04,-174.00813244387453,-258.79180906233483,-84.7836766184603,30182.63746410059,956154.7855760221,5914.918305799025,-258.791809062304
AAL,2019-01-07,164.29289989406203,153.34888766467466,-10.944012229387369,28751.446448497965,946426.0860696614,5570.297840512261,153.34888766467324
AAL,2019-01-08,173.28649159014094,157.90757325019666,-15.378918339944278,27119.006522482174,885714.6980004341,5332.20635966946,157.9075732502389
AAL,2019-01-09,11.387633967331166,9.192898505175787,-2.1947354621553785,296.89927709744165,9674.691970858361,59.049209246508966,9.19289850517627
AAL,2019-01-10,-346.6099391445498,-388.24908685944814,-41.63914771489834,27140.436517636757,847690.2203585219,5211.804055837965,-388.2490868594318
AAL,2019-01-11,32.71144126738989,20.466645995427914,-12.244795271961973,26203.68057751702,828977.8809484586,5154.7446837218295,20.466645995423917
AAL,2019-01-14,345.3711894861931,118.08191790162527,-227.2892715845678,25333.07839672055,801116.2831420526,4881.061591192674,118.08191790167265
AAL,2019-01-15,-64.76685249031657,-49.01977883481946,15.747073655497104,24845.13215455343,797679.4461409971,4986.985692853407,-49.01977883480597
AAL,2019-01-16,159.24443423526924,-81.17764100120952,-240.42207523647875,25115.586975078295,834219.2159818341,4756.126781575855,-81.17764100120087
AAL,2019-01-17,124.43240487943851,132.79804479879215,8.36563991935364,24410.70846908223,812558.757717983,4697.058450019196,132.79804479882463
AAL,2019-01-18,44.052310402616484,45.87220078863293,1.8198903860164464,24035.161496465378,812873.4506093282,4753.431674581015,45.87220078862815
AAL,2019-01-22,290.75796898553574,76.72399213161849,-214.03397685391724,24199.031536153423,801762.136370187,4777.919025414913,76.72399213161822
AAL,2019-01-23,-100.08307485149584,-184.93278378853887,-84.84970893704303,25065.186756537245,807997.2709832916,4913.625190484639,-184.93278378854723
AAL,2019-01-24,53.12820455241007,113.8000630439485,60.67185849153843,25557.915349808616,851201.3102835275,4905.848168081709,113.80006304397591
AAL,2019-01-25,31.158832466269438,22.076608589386566,-9.082223876882871,26189.07133907487,918440.8267877966,5148.596378377272,22.07660858939692
AAL,2019-01-28,-101.07302795604826,-78.43938437168651,22.63364358436175,26896.394696084644,972572.7674918274,5294.258411679908,-78.43938437168747
AAL,2019-01-29,12.220995178526582,59.23694563019407,47.01595045166749,26682.03553094405,974370.5238124466,5199.061928521806,59.236945630203735
AAL,2019-01-30,32.30882139752946,34.21666288375447,1.907841486225017,26703.787281894656,972564.2049304108,5129.355381856756,34.216662883722776
AAL,2019-01-31,-85.91091567477838,-78.6328032286631,7.278112446115287,27215.58346811085,981937.7626907993,5134.9461666170355,-78.63280322867743
AAL,2019-02-01,87.23493625466672,17.998747340945414,-69.2361889137213,25898.73624649238,939879.860720494,5073.020218342311,17.998747340977715
AAL,2019-02-04,-2.9890340216691733,27.570245995139395,30.559280016808568,25282.049996691483,926349.8500683325,4807.219638115865,27.570245995147438
AAL,2019-02-05,47.67852891168054,44.39222658352769,-3.28630232815285,25218.821667354627,931696.568233658,4796.48289467452,44.392226583548236
AAL,2019-02-06,-80.11300918141542,26.482847630431174,106.5958568118466,24872.45965049731,915631.4473001509,4815.25852827475,26.482847630412408
AAL,2019-02-07,35.83486753415396,43.166701426979145,7.331833892825188,26238.561928093128,952950.7825773198,5155.099674641377,43.166701426992354
AAL,2019-02-08,-68.02474291507653,58.796161073418,126.82090398849454,24503.627476053414,877609.5697067864,4747.835529747946,58.796161073465534
AAL,2019-02-11,13.409620561329877,-28.670536966883738,-42.08015752821362,24396.075697892215,889002.2259285459,4788.984812871997,-28.670536966917435
AAL,2019-02-12,26.402320496494372,-99.35438697851043,-125.7567074750048,25032.981637806573,917859.9363060069,4913.4919743604005,-99.35438697850998
AAL,2019-02-13,25.309955086777187,15.53202601142037,-9.777929075356816,25008.12301362255,904162.1448158973,4804.685851831127,15.532026011367513
AAL,2019-02-14,-107.18630724180214,-1.7015782184674464,105.4847290233347,24501.399193931924,886306.1204712755,4803.891978045907,-1.701578218443986
AAL,2019-02-15,133.07260557222446,339.58810440524394,206.51549883301948,25645.41479926414,914541.1717046058,4977.084663743886,339.58810440524667
AAL,2019-02-19,6.520224852613971,105.18972426331706,98.66949941070308,25875.404680134547,922869.3857193051,5001.677113469495,105.1897242633237
AAL,2019-02-20,45.69014705054012,23.018587179214006,-22.671559871326114,25796.755005196253,903930.8353776343,4996.224202324445,23.018587179202303
AAL,2019-02-21,-45.945442713051044,-67.96009611129902,-22.01465339824798,25080.480982052715,879041.0538447679,4833.246202891476,-67.96009611125766
AAL,2019-02-22,-16.33764183991882,16.872555113950344,33.210196953869165,24364.151089819126,862431.1618040407,4868.2050976056025,16.87255511394692
AAL,2019-02-25,58.23180634296852,81.60104830088646,23.369241957917943,23553.635869233418,847644.9821324982,4537.553723818985,81.6010483008818
AAL,2019-02-26,-20.82291843066906,75.24476113136771,96.06767956203677,22559.309441009602,821955.6912757433,4353.484550768926,75.24476113138438
AAL,2019-02-27,-82.78369995588068,-16.239485375344476,66.5442145805362,22469.964685963118,801128.8169490683,4475.714649407697,-16.239485375304895
AAL,2019-02-28,35.6796658796401,5.359240152159071,-30.320425727481027,22073.966224658026,784436.6406762437,4165.066323790695,5.359240152157383
AAL,2019-03-01,3.415208017526753,32.670096179313504,29.254888161786752,22042.908302985514,766272.148329125,4260.578962560049,32.670096179291704
AAL,2019-03-04,194.8958866359077,214.00795983831387,19.11207320240618,22043.173381778466,749942.2390625661,4318.389682060584,214.0079598383485
AAL,2019-03-05,0.37887120391795115,12.638802983799856,12.259931779881905,22208.487029206306,741828.1822153789,4397.22129373761,12.63880298380429
AAL,2019-03-06,84.53345721891861,120.31332321308864,35.779865994170024,22251.994883211486,732003.0940460975,4363.484457595514,120.31332321308554
AAL,2019-03-07,7.305441675340894,-12.598962397274434,-19.90440407261533,22544.838780667822,723321.7803657509,4401.714906506179,-12.598962397290293
AAL,2019-03-08,14.59046517751997,20.057796246624797,5.4673310691048265,21267.478158560407,678428.8801095348,4047.970913455648,20.05779624658661
AAL,2019-03-11,37.79394262662164,59.11902289618783,21.325080269566186,22111.637852599975,708635.1374591187,4277.88167650426,59.11902289618945
AAL,2019-03-12,71.2874927303382,88.21180828762537,16.924315557287173,22683.878244739666,711482.269094216,4418.948703901866,88.21180828761855
AAL,2019-03-13,-39.59199494262667,10.419857685010294,50.01185262763696,22602.4827108404,713666.7536945792,4344.004462167572,10.419857685021821
AAL,2019-03-14,16.727795149773804,-19.068115079631536,-35.79591022940534,22412.036490816074,717921.3995930303,4392.67772006325,-19.06811507963839
AAL,2019-03-15,-18.05194973230239,-27.55586807280237,-9.503918340499979,22465.043768395808,715499.0933219477,4376.482019601728,-27.555868072780957
AAL,2019-03-18,83.8039408373856,51.86252575135997,-31.94141508602563,21166.938660054697,661991.3591470672,4249.00923167719,51.86252575135318
