stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,28.723509749673738,-31.251630226130693,59.97513997580443,14929.77644618417,53.40569622193446,218.307384538268,0.0005447261623410782,2339
AAL,2019-01-03,146.73418045584725,206.5261348692764,-59.79195441342915,30980.164494781246,105.8807756438331,332.774468593796,0.0005656846027008387,2338
AAL,2019-01-04,-258.79180906233483,-174.00813244387453,-84.7836766184603,30182.63746410059,202.80141499841739,597.7641182640065,0.0009230237696074894,2324
AAL,2019-01-07,153.34888766467466,164.29289989406203,-10.944012229387369,28751.446448497965,138.343634320144,460.28010320689384,0.0007528771438363201,2335
AAL,2019-01-08,157.90757325019666,173.28649159014094,-15.378918339944278,27119.006522482174,176.15022995054943,454.24333576078425,0.0007263567389472387,2333
AAL,2019-01-09,9.192898505175787,11.387633967331166,-2.1947354621553785,296.89927709744165,22.70845084457179,37.52603722234037,0.00014604075754655278,58
AAL,2019-01-10,-388.24908685944814,-346.6099391445498,-41.63914771489834,27140.436517636757,193.99925557934824,455.09111072855137,0.0008752131502319767,2339
AAL,2019-01-11,20.466645995427914,32.71144126738989,-12.244795271961973,26203.68057751702,128.90709125642624,328.6292375038509,0.0008066192729194508,2330
AAL,2019-01-14,118.08191790162527,345.3711894861931,-227.2892715845678,25333.07839672055,278.2379796183076,626.8207356814246,0.0014429197544682435,2338
AAL,2019-01-15,-49.01977883481946,-64.76685249031657,15.747073655497104,24845.13215455343,255.66405940270366,592.4119676175567,0.0011119418615106965,2339
AAL,2019-01-16,-81.17764100120952,159.24443423526924,-240.42207523647875,25115.586975078295,83.56482662658046,332.1906716590863,0.0007687613066519843,2334
AAL,2019-01-17,132.79804479879215,124.43240487943851,8.36563991935364,24410.70846908223,183.5118213490563,492.7802890016813,0.0010181841648099236,2335
AAL,2019-01-18,45.87220078863293,44.052310402616484,1.8198903860164464,24035.161496465378,175.58612129511422,499.33170933094567,0.001077034550050052,2338
AAL,2019-01-22,76.72399213161849,290.75796898553574,-214.03397685391724,24199.031536153423,114.17892890644163,385.65587127383617,0.0008590595925693186,2337
AAL,2019-01-23,-184.93278378853887,-100.08307485149584,-84.84970893704303,25065.186756537245,108.93858281819925,372.75786916054443,0.0007120362379559055,2340
AAL,2019-01-24,113.8000630439485,53.12820455241007,60.67185849153843,25557.915349808616,107.97474109589568,338.3635900590092,0.0005873281013224039,2336
AAL,2019-01-25,22.076608589386566,31.158832466269438,-9.082223876882871,26189.07133907487,111.25079806035203,460.3089601677159,0.0009193858114013782,2333
AAL,2019-01-28,-78.43938437168651,-101.07302795604826,22.63364358436175,26896.394696084644,158.28802082477824,385.50189367708333,0.000637835550153374,2340
AAL,2019-01-29,59.23694563019407,12.220995178526582,47.01595045166749,26682.03553094405,133.25756614910375,509.6702552248354,0.0009613441319407171,2338
AAL,2019-01-30,34.21666288375447,32.30882139752946,1.907841486225017,26703.787281894656,212.39191886081278,493.8510139552618,0.000787465894566498,2340
AAL,2019-01-31,-78.6328032286631,-85.91091567477838,7.278112446115287,27215.58346811085,148.21285835873766,498.274661880753,0.0008071303772737425,2338
AAL,2019-02-01,17.998747340945414,87.23493625466672,-69.2361889137213,25898.73624649238,238.73498346243832,519.400734802063,0.0007948965592143554,2330
