,total
net_pnl,62787.13948402042
gross_pnl,119204.59560300535
impact_cost,56417.45611898493
predicted_alpha,44649725.902298406
realised_alpha,119204.59560300186
turnover,86576188.85785995
gross_notional,10568709770.830376
