stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-46.93605358852365,82.62321998751568,129.55927357603935,28756.01988576208,927956.6871716351,5720.24309301089,82.6232199875127
AAL,2019-01-03,459.77274091054585,377.816661847625,-81.95607906292082,58995.66077571074,1767174.8522504093,11966.165491336023,377.81666184760036
AAL,2019-01-04,-402.3435554736524,-413.15676763212707,-10.813212158474698,57227.77801456942,1812919.3985782163,11800.65709291429,-413.1567676320784
AAL,2019-01-07,279.62299928479774,312.84359156571026,33.22059228091251,55035.96897931937,1811593.6619138536,11103.718905410384,312.8435915657064
AAL,2019-01-08,229.1996827855163,200.20889773074748,-28.99078505476882,51908.9645174554,1695424.444818897,10636.977470996813,200.20889773080575
AAL,2019-01-09,13.695077553715487,11.913930639858332,-1.781146913857155,538.1517221701438,17533.36520191412,117.33562672148733,11.913930639858831
AAL,2019-01-10,-295.3445063510228,-427.4071811341439,-132.0626747831211,51071.713808313434,1595239.186689843,10374.196063484818,-427.4071811341117
AAL,2019-01-11,116.17745452034751,60.96267922086258,-55.21477529948493,49706.14412230445,1572476.889329086,10278.311626368391,60.962679220851776
AAL,2019-01-14,352.52610255382785,103.16156259818774,-249.3645399556401,48272.05762917272,1526535.6376888934,9725.974849712664,103.16156259821548
AAL,2019-01-15,-97.97373281279526,-121.12400997529355,-23.150277162498284,47274.78729880784,1517832.8585828934,9937.448551502139,-121.12400997527821
AAL,2019-01-16,142.40692246809547,-147.23738960840785,-289.6443120765033,47657.44506363507,1582931.9171621841,9480.937103110056,-147.23738960839262
AAL,2019-01-17,244.3432865584382,146.7330736413216,-97.6102129171166,46125.61597568142,1535379.0736609718,9358.757986087126,146.73307364134297
AAL,2019-01-18,184.44438572757625,51.991042834138966,-132.45334289343728,45586.47184510593,1541780.8599445592,9476.533571778731,51.99104283413823
AAL,2019-01-22,325.11151293304766,69.17067292437996,-255.9408400086677,45490.27519730589,1507172.721387966,9521.31528290769,69.17067292437801
AAL,2019-01-23,-110.00507471583384,-237.95599026723994,-127.9509155514061,47608.5877789277,1534634.2500685288,9800.377911807542,-237.9559902672574
AAL,2019-01-24,173.92685606270112,177.80932604093306,3.8824699782319385,48354.68189589249,1610497.6554975105,9784.384038777285,177.8093260409575
AAL,2019-01-25,-4.654327401709949,70.59912178449804,75.25344918620799,49704.23321848828,1743099.529538606,10262.149660095627,70.59912178451752
AAL,2019-01-28,-28.684712639328005,-93.93154421797388,-65.24683157864587,50787.2839133603,1836552.8314429023,10555.411799175796,-93.93154421797558
