,total
net_pnl,205253.7589503604
gross_pnl,217288.8949354576
impact_cost,12035.135985097178
predicted_alpha,89192004.78730077
realised_alpha,217288.894935454
turnover,167952997.14933482
gross_notional,20524489992.83909
