date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,3320.503248967991,3233.3758064519147,87.12744251607604,824781.2632793639,4.1559270677839246e-05
2019-01-03,-8713.182995901372,-7627.170095492012,-1086.0129004093615,1052767.1565141196,6.64809889884781e-05
2019-01-04,5725.417933339462,5448.354994619639,277.06293871982353,1114985.5472333103,4.505259129682182e-05
2019-01-07,7282.875613172279,3753.981386465178,3528.894226707101,1085337.7181546197,7.02960183279794e-05
2019-01-08,-9382.719634810835,-8389.922738713387,-992.7968960974464,1053653.6038633927,5.095291319428261e-05
2019-01-09,348.2657724482936,184.54167318093877,163.72409926735486,11014.343180672586,1.998808792419316e-05
2019-01-10,-2404.7876740266424,-1894.804484610096,-509.9831894165461,872412.6220495894,9.473677053645326e-05
2019-01-11,-75.67499768211522,-318.4351200448581,242.76012236274312,852348.1572822157,8.691245091131875e-05
2019-01-14,10843.773390947264,7879.325408063521,2964.447982883743,831935.4127247941,6.316618081091065e-05
2019-01-15,403.5971440341094,-35.518251041455166,439.11539507556455,819502.976089008,6.999518300008932e-05
2019-01-16,2762.417734756243,3644.28003958257,-881.862304826327,812968.8161887839,5.610159138860075e-05
2019-01-17,-1118.788855092958,727.7285789555964,-1846.5174340485546,800577.4821971785,6.794044672073758e-05
2019-01-18,4334.246407976292,1364.246373079203,2970.000034897089,805629.2139633218,5.692520463095195e-05
2019-01-22,-943.9217247538527,2172.523696176057,-3116.4454209299092,803614.4982092062,5.191823894443179e-05
2019-01-23,6580.870063861119,5620.525328887521,960.3447349735989,803814.8076927126,6.781560932719528e-05
2019-01-24,5467.1196449061235,3067.4997184051253,2399.6199265009973,810705.7207890947,5.832886803729881e-05
2019-01-25,956.5410047308068,441.3558185254482,515.1851862053585,819467.161816952,5.0874781900644465e-05
2019-01-28,2463.033875064946,3475.1919523192537,-1012.1580772543075,827738.8829189041,6.151655834662941e-05
2019-01-29,647.1811287689217,3737.8469712943106,-3090.6658425253895,831715.6041906888,4.4846740366619476e-05
2019-01-30,1794.1225650341353,647.0858201710755,1147.0367448630598,855970.3503804038,6.042115058073889e-05
2019-01-31,-463.11492679891745,494.89881472696163,-958.013741525879,867601.0266852982,4.4046659998808316e-05
2019-02-01,-956.3701491196788,-1681.6893988370712,725.3192497173923,849870.0821154343,5.2317881775262955e-05
