stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,82.62321998751568,-46.93605358852365,129.55927357603935,28756.01988576208,88.37388797391253,363.6691694707181,2.7035673705939002e-05,2339
AAL,2019-01-03,377.816661847625,459.77274091054585,-81.95607906292082,58995.66077571074,183.61831412833178,630.688750799945,3.9562840981860544e-05,2338
AAL,2019-01-04,-413.15676763212707,-402.3435554736524,-10.813212158474698,57227.77801456942,314.74860805791224,976.6479465453724,4.071533050936093e-05,2324
AAL,2019-01-07,312.84359156571026,279.62299928479774,33.22059228091251,55035.96897931937,222.52324602774374,767.8031950507162,3.639404561916092e-05,2335
AAL,2019-01-08,200.20889773074748,229.1996827855163,-28.99078505476882,51908.9645174554,230.71039448739216,723.4766342485112,3.462999042990835e-05,2333
AAL,2019-01-09,11.913930639858332,13.695077553715487,-1.781146913857155,538.1517221701438,25.75990677660221,47.54215751218388,5.505032227942786e-06,58
AAL,2019-01-10,-427.4071811341439,-295.3445063510228,-132.0626747831211,51071.713808313434,262.0119317394645,709.8194633596935,4.598057576499466e-05,2339
AAL,2019-01-11,60.96267922086258,116.17745452034751,-55.21477529948493,49706.14412230445,171.08503097184263,559.8087076338774,5.339574344614472e-05,2330
AAL,2019-01-14,103.16156259818774,352.52610255382785,-249.3645399556401,48272.05762917272,288.33120702941767,945.0479306705963,5.4966407395000224e-05,2338
AAL,2019-01-15,-121.12400997529355,-97.97373281279526,-23.150277162498284,47274.78729880784,308.5577810169946,749.6693389542962,6.203444860704335e-05,2339
AAL,2019-01-16,-147.23738960840785,142.40692246809547,-289.6443120765033,47657.44506363507,138.93556353954062,519.6774057727636,3.867135382065389e-05,2334
AAL,2019-01-17,146.7330736413216,244.3432865584382,-97.6102129171166,46125.61597568142,231.5863301883189,680.1763643998974,4.170235078260443e-05,2335
AAL,2019-01-18,51.991042834138966,184.44438572757625,-132.45334289343728,45586.47184510593,214.10626282423695,763.6691509797962,4.4808702811534415e-05,2338
AAL,2019-01-22,69.17067292437996,325.11151293304766,-255.9408400086677,45490.27519730589,184.05240789012583,600.9406378483242,4.4195971422158255e-05,2337
AAL,2019-01-23,-237.95599026723994,-110.00507471583384,-127.9509155514061,47608.5877789277,155.54103733892507,542.0482248204983,3.2756623991938255e-05,2340
AAL,2019-01-24,177.80932604093306,173.92685606270112,3.8824699782319385,48354.68189589249,119.96991599759401,452.253734917521,2.6508276907949418e-05,2336
AAL,2019-01-25,70.59912178449804,-4.654327401709949,75.25344918620799,49704.23321848828,179.3915046379985,711.082600340236,4.0254943840341974e-05,2333
AAL,2019-01-28,-93.93154421797388,-28.684712639328005,-65.24683157864587,50787.2839133603,197.1674818532421,583.6738717711064,3.091510980966416e-05,2340
AAL,2019-01-29,21.7633465771695,11.201608336766341,10.561738240403159,50687.43040060067,213.3918539647369,740.6162794815241,4.4846740366619476e-05,2338
AAL,2019-01-30,117.32423266194783,110.46207264401156,6.862160017936276,50345.62517105617,268.43053418628074,606.0121118598072,4.0056630970255296e-05,2340
AAL,2019-01-31,-19.534365662097358,-145.1275919840501,125.59322632195274,51661.63704811441,221.37535752428906,656.2138308242031,3.767572614968047e-05,2338
AAL,2019-02-01,-31.164147826644836,89.06295744769585,-120.22710527434069,49131.34824441668,273.327245140879,624.6225767521515,3.699884350338099e-05,2330
