stock,date,net_pnl,gross_pnl,mid_raw_pnl,impact_cost,turnover,gross_notional,day_participation,flow_flag_count,max_delta_g,predicted_alpha,realised_alpha
AAL,2019-01-02,55.86157999533721,55.955829795050136,11.67206164542436,0.09424979971292657,2915.923124533383,95772.62223196766,0.0042172842700020875,46.0,5.6834658812995875e-05,2.286317290973682,11.184832183090691
AAL,2019-01-03,86.99898804748187,87.08283828626494,87.18099412851039,0.08385023878307152,4983.638099968059,148024.92017772165,0.0022885731565261028,74.0,9.641036572732506e-05,3.7762560794031645,82.07499558252296
AAL,2019-01-04,-153.76823935160525,-153.74627064538055,-91.31720878973638,0.0219687062246976,4907.925525458186,156239.141276092,0.0035787024057136047,51.0,7.116769896813209e-05,3.8393272478385714,-91.65302581983823
AAL,2019-01-07,52.96923056699599,53.098968248499176,37.10416301527472,0.12973768150318676,4422.815349733575,146083.27122683803,0.004001048792338052,32.0,6.597777389649902e-05,3.3885955893871635,37.33673188783621
AAL,2019-01-08,78.34327392544203,78.49047616617558,76.34625491492957,0.1472022407335487,4336.5985373135845,140936.8350643207,0.004516499755577758,51.0,0.00016121609612247938,3.3273567563500235,78.45994376688054
AAL,2019-01-09,-76.97194190104037,-76.95633853844708,-57.69695893910799,0.0156033625932821,70.67694289472739,2279.5754879532233,0.0010653584192991874,0.0,4.9614277787553285e-05,0.06142164618190279,-44.16376499407484
AAL,2019-01-10,-240.42990910687996,-240.18626012783758,-166.85838200467654,0.24364897904237637,3249.2143206446035,100628.67668366659,0.0013246527839293415,53.0,9.132026108412891e-05,2.4623106954131897,-169.5907106902517
AAL,2019-01-11,10.788560657994292,11.003924534722731,12.357727208085766,0.21536387672843915,3306.5282812458263,104087.90660518454,0.003450197975128137,102.0,0.0001508998360836471,2.4955471036904666,8.321593271517386
AAL,2019-01-14,-11.309751867651219,-11.261374398334306,1.9559512309629072,0.04837746931691278,3244.0294826907466,102339.08422367438,0.0039987642435461304,49.0,0.00013776634552643656,2.4294622955647562,2.787724916414093
AAL,2019-01-15,-60.52786451368661,-60.46383483197928,-16.449918935479534,0.06402968170733203,3334.816173004678,107997.69474960456,0.0033799760327786334,30.0,5.650527165693489e-05,2.630215966799925,-16.147415064543434
