,total
net_pnl,90438.62322138558
gross_pnl,91984.28070255744
mid_raw_pnl,112002.27112518162
impact_cost,1545.6574811718365
predicted_alpha,42569.42769477864
realised_alpha,103715.74423262547
turnover,21464673.70514986
gross_notional,2576262876.4507246
flow_flag_count,443024.0
