stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-979.3683965967184,48.16719865841007,1027.5355952551286,16429.744339834546,530188.557474842,3269.340781885763,48.16719865840514
AAL,2019-01-03,1100.913317800967,212.75642408721012,-888.1568937137569,33704.89605487489,1009609.7955357085,6838.056422082262,212.75642408719426
AAL,2019-01-04,749.6921441941539,-275.1070519188436,-1024.7991961129974,32718.70952238168,1036498.2523231858,6743.100845330386,-275.1070519188057
AAL,2019-01-07,233.95364275619755,140.23795317495393,-93.71568958124362,31456.615341801713,1035445.3350295357,6349.471067800143,140.2379531749535
AAL,2019-01-08,120.53723975978767,192.3937267923488,71.85648703256112,29665.7593229159,968934.3475402319,6078.766999931855,192.39372679239125
AAL,2019-01-09,24.39915849085346,6.9217045464004014,-17.477453944453057,307.2753318731457,10011.225582036135,66.96801621306186,6.921704546400691
AAL,2019-01-10,-112.45274999246362,-407.34282829129523,-294.8900782988316,29181.25750597923,911488.0573154844,5930.115587174181,-407.34282829127596
AAL,2019-01-11,137.21591230691658,23.876258813506787,-113.3396534934098,28394.481362434155,898271.8411138011,5871.904891694432,23.876258813502705
AAL,2019-01-14,2724.9579574294075,81.05851454554457,-2643.899442883863,27594.586976952123,872638.208236661,5561.392013638895,81.05851454558325
AAL,2019-01-15,-178.1811755449187,-69.0397731189489,109.14140242596979,27029.93209907526,867838.7426707,5682.564005665706,-69.03977311893428
AAL,2019-01-16,2967.9991732620524,-103.77094391434495,-3071.7701171763974,27224.676943993687,904260.2586936391,5416.502241209873,-103.77094391433432
AAL,2019-01-17,257.02748579576973,110.60277974281584,-146.4247060529539,26363.9337797935,877573.6201742373,5349.896304707872,110.60277974284124
AAL,2019-01-18,267.0106354179097,40.3828631616651,-226.6277722562446,26056.116422773062,881243.6188141187,5415.735132423098,40.382863161661184
AAL,2019-01-22,2731.143828379451,62.863983965815954,-2668.279844413635,25993.240723565832,861203.5665932836,5442.052688596934,62.86398396581606
AAL,2019-01-23,845.5314877679307,-194.11771335214732,-1039.649201120078,27198.132758092586,876718.2108098387,5597.933425292205,-194.11771335215627
AAL,2019-01-24,-500.4845519360962,108.57012963708127,609.0546815731775,27618.064742061742,919845.2245470261,5588.238010215115,108.57012963710162
AAL,2019-01-25,-474.4478144129349,54.56755851233455,529.0153729252695,28400.26091274771,995980.7825692671,5864.547942181565,54.56755851234638
