date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,2260.4354355254764,3432.8861254990625,-1172.4506899735845,471215.5546575473,0.00859686601674546
2019-01-03,-6329.5784148866305,-3437.9953694839783,-2891.583045402652,601419.6732398744,0.011172728241359346
2019-01-04,3296.6829651439148,-14115.722878377062,17412.40584352097,637075.0068921507,0.01113188293805626
2019-01-07,4217.2845106216555,-31543.57765580349,35760.86216642514,620335.4307512497,0.018061273818575568
2019-01-08,-5729.848036313995,-18948.243662271703,13218.395625957712,602145.2081838921,0.011757838566547935
2019-01-09,207.89921220587053,-1027.9759949394415,1235.875207145312,6289.336085643468,0.004606797673185832
2019-01-10,-1275.9816754845895,-1779.6047234686416,503.6230479840531,498607.9478343846,0.021747923431227518
2019-01-11,130.81533136989444,578.9315432351095,-448.1162118652119,487046.63096864766,0.020348484397421193
2019-01-14,6618.678810863857,-38467.466297156185,45086.14510802004,475326.9873505606,0.016499548436607652
2019-01-15,45.385545614831415,-14316.878465153666,14362.264010768497,468321.82435809646,0.018505683170008887
2019-01-16,1453.3371762058919,18024.73018767925,-16571.39301147336,464414.1712146542,0.0130212177386327
2019-01-17,-736.2184181077071,11164.839427918605,-11901.057846026311,457486.6935139664,0.01578170706834953
2019-01-18,2235.938479953846,-48163.33784274362,50399.276322697464,460296.7104152442,0.013211702218976974
2019-01-22,333.9817850303705,51131.19192105086,-50797.21013602048,459121.3485007987,0.010846126211712428
2019-01-23,5601.59879304398,-31213.539520502323,36815.138313546304,459412.40479358414,0.013575855127616923
2019-01-24,3786.9243919098767,-59882.15785936488,63669.082251274755,463236.32802985085,0.013038717502208324
2019-01-25,35.09474545559808,447.1842936126671,-412.08954815706915,468166.7802988329,0.010421100664045788
2019-01-28,1656.9548064598375,4770.607039372218,-3113.6522329123814,472958.8303858744,0.013414926923874625
2019-01-29,649.7556756740399,29319.187107379275,-28669.43143170524,475206.1412192894,0.010747003279094973
2019-01-30,1050.7457795689554,-18174.100537025402,19224.846316594358,489041.80747068627,0.01333129096676636
2019-01-31,428.7425536685892,-19303.61569994822,19732.35825361681,495713.6030599808,0.013406434204594182
2019-02-01,-1326.3224512776244,-5073.968858679862,3747.646407402237,485549.10538782814,0.013755233820882938
2019-02-04,-1746.94423571968,11459.894514973184,-13206.838750692863,469524.6774117845,0.01392842019448619
2019-02-05,1298.6496868495244,28039.057919898463,-26740.408233048936,468362.438615898,0.013812625427937465
2019-02-06,1445.9874356855357,-44170.25587397518,45616.24330966071,465110.08936471655,0.011685552135257958
2019-02-07,-486.28041034940827,27623.50811160669,-28109.788521956096,494598.96837993636,0.010493870414626702
2019-02-08,-1557.6973980641037,3606.9107465241764,-5164.608144588281,487987.3710333628,0.007518294929129807
2019-02-11,1378.9309251677378,-8270.888620357793,9649.819545525532,485977.3953117955,0.009494712831686812
2019-02-12,692.0231994237892,6691.919800768524,-5999.896601344735,487316.99999860034,0.007314271528449338
2019-02-13,-385.04861688046066,307.61333356312633,-692.6619504435872,486761.8216343262,0.006217725197176556
2019-02-14,2798.3636808372758,7916.343547410048,-5117.979866572771,486040.4538283323,0.013379844611134645
2019-02-15,-43.88635940407735,11245.172472609349,-11289.058832013425,490053.94159454934,0.00826081957317392
