stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,51.408577783066434,-54.28979187695455,105.69836966002099,16982.378155598875,56.562163806215615,241.05101328398518,1.917144741258113e-05,2339
AAL,2019-01-03,96.84647697945715,113.95864078837695,-17.112163808919803,35159.80523198232,121.412367747086,379.33688786076226,2.5016280240424175e-05,2338
AAL,2019-01-04,-352.1282783685102,-317.8599073920546,-34.26837097645563,34302.796539401555,236.3876871809065,710.4650189865458,3.435064885242303e-05,2324
AAL,2019-01-07,116.71214047194437,158.3783787525513,-41.66623828060693,32667.63210417919,186.92272991947124,656.5346361938033,3.3194750366037176e-05,2335
AAL,2019-01-08,142.2710259642169,170.08101647239846,-27.809990508181556,30782.712781701823,197.5439126573606,487.38012658026105,2.9095492957597684e-05,2333
AAL,2019-01-09,14.735812429286463,16.373912678634166,-1.638100249347703,334.4488814996986,32.93606952787016,54.960026921392156,6.157962584351395e-06,58
AAL,2019-01-10,-340.89159591541886,-253.33540865638145,-87.55618725903742,30777.8122507366,189.60788712738423,537.6378176288237,3.450862286331195e-05,2339
AAL,2019-01-11,-9.135073682437781,24.922605549622926,-34.05767923206071,29700.192928904842,141.6019423653728,382.1249674335854,3.11468485256868e-05,2330
AAL,2019-01-14,59.206764050418414,322.2222839432583,-263.01551989283985,28744.993956873936,253.6380771958261,607.9235852535916,4.528941547072631e-05,2338
AAL,2019-01-15,-64.52185468421771,-42.73911732320153,-21.78273736101618,28311.055780058512,245.39034504143376,522.6397391370726,5.050281068756176e-05,2339
AAL,2019-01-16,-88.32168477678783,150.18281111793624,-238.50449589472407,28536.800183863837,92.96724645193657,349.44544901735543,2.440728836897557e-05,2334
AAL,2019-01-17,92.78884860230912,125.41818658406699,-32.62933798175787,27705.580685754252,169.45041341584525,480.16294666644745,3.268363536030402e-05,2335
AAL,2019-01-18,40.368197530480295,139.69590730741456,-99.32770977693426,27311.47527231441,187.1613261993532,552.1177918293828,3.6049482352626685e-05,2338
AAL,2019-01-22,77.22728370869305,276.68884377293847,-199.46156006424542,27442.126621602547,124.92327641597515,446.2970976673312,3.120171479311206e-05,2337
AAL,2019-01-23,-164.59574277868236,-104.18284651250511,-60.412896266177256,28456.516169460716,111.28134367780835,386.6492197532881,2.4500391208530562e-05,2340
AAL,2019-01-24,110.29797943201149,82.73921065049754,27.558768781513947,28965.028913525046,109.18739983678044,357.567109445903,1.9800530530927244e-05,2336
AAL,2019-01-25,31.681059757350724,64.72940684026001,-33.04834708290929,29668.079044773396,126.4405614965582,508.4664395162885,3.052357696582333e-05,2333
AAL,2019-01-28,-137.98333780059312,-45.563990453187216,-92.4193473474059,30528.616508536914,168.91913982882068,422.78667907586765,2.3774284909317343e-05,2340
AAL,2019-01-29,35.25079739855305,-39.29697149959301,74.54776889814606,30379.67427585545,142.83912604421747,477.9866751309605,3.020797483564638e-05,2338
