date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,2530.202739241511,1567.3736048787796,962.8291343627313,485105.67447718565,3.100538068690491e-05
2019-01-03,-6722.0662992001235,-6694.111679825833,-27.954619374291433,622238.1389326919,4.2203753282451324e-05
2019-01-04,1541.6375511286808,1260.078562835911,281.55898829276987,658271.7930185067,3.435064885242303e-05
2019-01-07,2312.7213973817907,853.706220066663,1459.0151773151279,640443.8923159551,4.9893717446694994e-05
2019-01-08,-5666.834683866906,-6029.816988918512,362.98230505160615,622268.1942778322,3.721202462843607e-05
2019-01-09,197.223700490934,66.37972900775475,130.84397148317922,6731.581320207083,1.3673200424890154e-05
2019-01-10,-1213.290095690175,-299.1463791031867,-914.1437165869883,522981.14240326727,7.227488869315549e-05
2019-01-11,-431.0612137473129,-380.960903098056,-50.10031064925685,508399.6042914913,6.349412438592837e-05
2019-01-14,6188.554174204166,4365.149183094924,1823.4049911092418,495703.91234919644,4.538633963144938e-05
2019-01-15,-847.7049329770276,-838.1708842363637,-9.53404874066387,488882.35551905585,5.6227079751283074e-05
2019-01-16,989.6450540474505,1729.449811445419,-739.8047573979685,481947.07020704716,3.950114615352701e-05
2019-01-17,-1659.4504289358454,-833.6627932445523,-825.7876356912932,475449.31589410885,4.3422643338969315e-05
2019-01-18,1749.885354942077,-56.27120778421074,1806.1565627262876,477637.5251351969,4.12050153170091e-05
2019-01-22,-997.0823607573479,2531.6957862422764,-3528.778146999625,476724.160440988,3.5744512583884655e-05
2019-01-23,4474.658557498587,3356.3319256719647,1118.326631826622,475353.2086780747,4.050940810907806e-05
2019-01-24,3122.582425085128,913.6062427146799,2208.9761823704475,479833.0529908408,4.2686977714738785e-05
2019-01-25,-618.3897036192488,-277.3167278823258,-341.0729757369231,484621.1135380387,3.6689042841934895e-05
2019-01-28,677.0853826286868,1115.3334838913042,-438.24810126261735,489828.4321902029,4.155676173002137e-05
2019-01-29,-479.8143219221425,1682.2789969272771,-2162.09331884942,491955.81808101584,3.103795831235099e-05
2019-01-30,1298.842903792078,235.7974806325558,1063.0454231595222,506641.3454726501,4.3938676220400366e-05
2019-01-31,-1291.026103080919,-741.1172831869943,-549.9088198939247,514290.78987508314,3.6180984754922906e-05
2019-02-01,-2350.2234639271255,-2701.1764319461136,350.9529680189882,502958.08752399427,3.7988493533345176e-05
2019-02-04,-3714.572325796312,-1986.0614614207454,-1728.5108643755666,487097.20539055765,3.8512003623866594e-05
2019-02-05,849.2308134383825,2833.3103274278164,-1984.079513989434,486441.23107567464,3.998763540612511e-05
2019-02-06,855.4518053040679,-2095.6251564256427,2951.0769617297105,481649.03038714954,4.1421110864845125e-05
2019-02-07,-1186.4568576452991,518.7175723320825,-1705.1744299773816,507336.0985532795,3.1040411927515563e-05
2019-02-08,-1766.2590771942018,-1064.5394320068258,-701.719645187376,500762.9046010393,2.6501571358346305e-05
2019-02-11,1051.4508676790479,1006.7669122699666,44.683955409081264,498495.52626057225,2.9432159605002787e-05
2019-02-12,420.478758059718,959.920467636962,-539.4417095772441,500614.6849660166,2.5888865252937024e-05
2019-02-13,-986.5057000162167,-539.7339962859685,-446.7717037302482,499568.1437679201,2.159153653880848e-05
2019-02-14,2569.3043314944653,3652.5425540901765,-1083.2382225957112,498180.8877787845,4.203606265795315e-05
