,total
net_pnl,11184.192442931422
gross_pnl,20617.8497816854
impact_cost,9433.657338753963
predicted_alpha,255124969.9921974
realised_alpha,20617.849781679557
turnover,98549027.4248366
gross_notional,12028606118.884111
